time,desired D_u,hat{D_{u}},desire_u,u,e_{u},tau_{u}
0,1.54963922507607,0,1.5,0.004,1.496,99.1195678710938
0.1,0.305235424127359,0.620782106443447,1.5,0.397177720175224,1.10282227982478,98.4562042064228
0.2,-0.945237381108898,-0.567400888798615,1.5,0.782562868723964,0.717437131276036,100.150913433431
0.3,-2.19040671011989,-1.85433782865553,1.5,1.15643656409128,0.343563435908723,98.428012507458
0.4,-3.41894279291073,-3.47085037637523,1.5,1.38067524674233,0.11932475325767,43.7329206745701
0.5,-4.6196873935366,-4.43725680750387,1.5,1.45837821288174,0.041621787118257,26.1944288555958
0.6,-5.78178059468143,-5.49679917573607,1.5,1.48601302049112,0.013986979508882,20.4011417674986
0.7,-6.89478393998971,-6.58356975542282,1.5,1.49549743401475,0.004502565985255,19.7649491928694
0.8,-7.94879837785232,-7.65427991384597,1.5,1.49905440215169,0.000945597848306,19.589811261836
0.9,-8.93457551800274,-8.65726176752633,1.5,1.50043064952464,-0.000430649524638,20.1769099022347
1,-9.84362079969475,-9.59982155214934,1.5,1.50100404908978,-0.001004049089785,21.2646882082143
1.1,-10.668287276233,-10.4536779944325,1.5,1.50132396185615,-0.001323961856152,22.0552251462365
1.2,-11.4018588437907,-11.219751842921,1.5,1.50151721418196,-0.001517214181959,22.2526393911292
1.3,-12.0386218811148,-11.8854927068702,1.5,1.50166338082491,-0.001663380824911,23.393600637292
1.4,-12.573924419019,-12.4523917983276,1.5,1.50158442158205,-0.001584421582046,24.260951841901
1.5,-13.0042221224511,-12.9107034477753,1.5,1.50170667538963,-0.001706675389628,24.0793003413242
1.6,-13.3271105411691,-13.25333061905,1.5,1.50185786020689,-0.001857860206886,24.6175432512293
1.7,-13.5413432653514,-13.5013152803054,1.5,1.50214680078615,-0.002146800786146,23.8814954603782
1.8,-13.6468358073476,-13.6228202813995,1.5,1.50233959618352,-0.002339596183516,24.6147132450473
1.9,-13.644655217773,-13.6564579907734,1.5,1.50225607717885,-0.002256077178855,24.5458436313946
2,-13.5369956307234,-13.5677879959076,1.5,1.50237618330051,-0.002376183300506,24.3560804336994
2.1,-13.327140116538,-13.3686514383601,1.5,1.50238255499454,-0.002382554994537,24.3136862105178
2.2,-13.0194093987813,-13.0853326656255,1.5,1.50239717255308,-0.002397172553077,23.4456577934655
2.3,-12.6190981625648,-12.7145891560258,1.5,1.50259168680601,-0.002591686806011,23.9508030487241
2.4,-12.132399841687,-12.2548508920295,1.5,1.50269006759923,-0.002690067599233,22.7418753780944
2.5,-11.5663209201918,-11.7113038673459,1.5,1.50285825472956,-0.002858254729564,22.5851431264935
2.6,-10.9285859178502,-11.0912175896432,1.5,1.50283395537853,-0.002833955378527,22.0277490141656
2.7,-10.2275343469704,-10.4062216855944,1.5,1.50292086983794,-0.002920869837944,22.0150562502803
2.8,-9.47201102827412,-9.6658155081571,1.5,1.5030012582184,-0.003001258218398,20.5949850139917
2.9,-8.67125123502074,-8.88901325357089,1.5,1.50316751551046,-0.003167515510457,19.8136438657058
3,-7.83476219604756,-8.0566773288363,1.5,1.50324270374432,-0.003242703744317,18.5685264043921
3.1,-6.97220252913892,-7.21315033419394,1.5,1.50316030167837,-0.003160301678373,18.1030679462697
3.2,-6.09326119562841,-6.33337677421029,1.5,1.50333813256806,-0.003338132568059,17.1569506913608
3.3,-5.2075375651658,-5.45274434168131,1.5,1.50349778120777,-0.003497781207766,16.5833022959927
3.4,-4.32442415621944,-4.56789701432359,1.5,1.50339565981474,-0.003395659814742,15.4725421890653
3.5,-3.45299357350737,-3.6864289023791,1.5,1.50338675682866,-0.003386756828655,14.8010344185744
3.6,-2.60189109881301,-2.83111370930178,1.5,1.50332844036999,-0.003328440369993,13.7861374748657
3.7,-1.77923430747852,-2.00749693610632,1.5,1.50331202049714,-0.003312020497137,12.6198327372309
3.8,-0.992520980478148,-1.19688605258522,1.5,1.50321414130812,-0.003214141308122,13.0428912241226
3.9,-0.24854646280246,-0.437930063630974,1.5,1.50316588399877,-0.003165883998771,11.2916765970248
4,0.446668515398577,0.259608687517856,1.5,1.5031353673704,-0.003135367370404,9.85315078342178
4.1,1.08793868598086,0.935765072664428,1.5,1.5030513039057,-0.003051303905701,10.4876588136347
4.2,1.6709630480422,1.5246365286264,1.5,1.50288913335265,-0.002889133352654,9.44315529690652
4.3,2.19236108867055,2.07250670966959,1.5,1.50298082046371,-0.002980820463707,9.07438068213606
4.4,2.64969605097249,2.54925419102568,1.5,1.50289220658819,-0.002892206588192,7.91196967949015
4.5,3.04148505973897,2.94544532534672,1.5,1.50269619770699,-0.002696197706988,7.96202138426708
4.6,3.36719609547916,3.30109034301252,1.5,1.50274020715941,-0.002740207159406,8.01456313012629
