time,desired_D_w,hat{D_{w}},desired_D_q,hat{D_{q}},desired_theta,theta,e_{theta},tau_{q}
0,0.740476835142393,0.010433124880204,1.37350300364327,0,0.174532925199433,0,0.174532925199433,97.0299303531647
0.1,0.318999782061811,0.261674357969682,0.159033979714019,-0.079554096390373,0.174532925199433,0.015123120501962,0.159409804697471,100.07955409639
0.2,-0.104163013746865,-0.157126703998636,-1.0538873288446,-0.815836566328199,0.174532925199433,0.041963390367145,0.132569534832288,100.815836566328
0.3,-0.526856579305596,-0.539140089881285,-2.25200582723849,-1.86479463500405,0.174532925199433,0.070078043479135,0.104454881720298,101.603851460642
0.4,-0.946928259283546,-0.944095263754443,-3.42229844502294,-3.0129315918449,0.174532925199433,0.097693177904818,0.076839747294615,102.834445483065
0.5,-1.36224175510516,-1.35477135006502,-4.5521369577621,-4.16014459821259,0.174532925199433,0.124581571138722,0.049951354060711,103.56910494062
0.6,-1.77069104745112,-1.74779574008317,-5.62944478908596,-5.3439379608846,0.174532925199433,0.150175172557896,0.024357752641537,79.9847722923971
0.7,-2.17021410003331,-2.10530769974394,-6.64284564486487,-6.23489491402359,0.174532925199433,0.168573485898945,0.005959439300488,32.2943972772285
0.8,-2.55880624420686,-2.49203548879665,-7.58180195796909,-6.98730542263248,0.174532925199433,0.176163221602537,-0.001630296403104,21.9988141854689
0.9,-2.93453314644152,-2.89392092857954,-8.43674127827659,-7.96485818423097,0.174532925199433,0.177477553014296,-0.002944627814863,22.3013562659151
1,-3.29554326389295,-3.27823697446161,-9.19916892576479,-8.83130025636234,0.174532925199433,0.176832850241656,-0.002299925042223,26.8324558116106
1.1,-3.6400796972648,-3.63294735752323,-9.86176543178695,-9.53294523777687,0.174532925199433,0.176123907996597,-0.001590982797164,24.8776022416564
1.2,-3.96649135480541,-3.96462577105491,-10.4184675217479,-10.0805073988334,0.174532925199433,0.175764249351805,-0.001231324152373,27.5313168775932
1.3,-4.27324334659911,-4.27236384962313,-10.8645316377967,-10.6890041658905,0.174532925199433,0.175656689224958,-0.001123764025525,24.1502035686996
1.4,-4.55892653425245,-4.55746476676787,-11.1965792590401,-11.0295953258383,0.174532925199433,0.175648811432918,-0.001115886233485,40.2686687215674
1.5,-4.82226616759021,-4.82284350727293,-11.4126235451362,-11.3151908107683,0.174532925199433,0.175702713072799,-0.001169787873366,31.7076102085993
1.6,-5.06212954701492,-5.06294422213087,-11.5120771028299,-11.4677868889489,0.174532925199433,0.175892970035393,-0.00136004483596,33.2342647122064
1.7,-5.27753265769051,-5.27809795246308,-11.4957409498303,-11.5171632630375,0.174532925199433,0.176243626572776,-0.001710701373343,34.8781025869396
1.8,-5.46764572962614,-5.46723211898153,-11.3657750222174,-11.4728424879033,0.174532925199433,0.176484259611676,-0.001951334412243,33.8383231492955
1.9,-5.63179768599764,-5.62977349846243,-11.1256508361679,-11.317716461817,0.174532925199433,0.176598157842201,-0.002065232642768,28.6137580100691
2,-5.76947945058601,-5.76896211093849,-10.7800871682153,-11.003463288417,0.174532925199433,0.176551250464927,-0.002018325265494,36.5217316352035
2.1,-5.88034609396722,-5.88091833213903,-10.3349698567093,-10.5486614412212,0.174532925199433,0.176486145841053,-0.00195322064162,31.7500142163181
2.2,-5.96421780698632,-5.95812487466946,-9.7972570470653,-10.1178255307152,0.174532925199433,0.176512098717612,-0.001979173518179,25.0401880967095
2.3,-6.02107969902096,-6.01434668232852,-9.17487140156943,-9.56717594956837,0.174532925199433,0.176609929628799,-0.002077004429366,17.8291195580908
2.4,-6.05108042751419,-6.05860149209671,-8.47658096804521,-8.92923774503565,0.174532925199433,0.176629738847253,-0.00209681364782,32.860453448523
2.5,-6.05452967416304,-6.06272679631262,-7.71187054812769,-8.11509451894279,0.174532925199433,0.176686848133584,-0.002153922934151,22.1496995451879
2.6,-6.03189449191743,-6.03765630048581,-6.89080552319512,-7.38212718405135,0.174532925199433,0.17661010607299,-0.002077180873557,31.1845759931982
2.7,-5.98379455550495,-5.983364188494,-6.02389018261572,-6.60423701085812,0.174532925199433,0.176541494428456,-0.002008569229023,32.6614803580261
2.8,-5.91099635648298,-5.90892523807708,-5.12192265380637,-5.64335971637552,0.174532925199433,0.176610872743774,-0.002077947544341,25.3184327439863
2.9,-5.81440639176622,-5.80744495938125,-4.19584855610785,-4.78145835527847,0.174532925199433,0.176737452907838,-0.002204527708405,21.203217483849
3,-5.69506340212161,-5.69070416963994,-3.25661549060437,-3.92924270789704,0.174532925199433,0.176745146876303,-0.00221222167687,31.675449229885
3.1,-5.55412972420635,-5.55588221428214,-2.31503043621103,-2.88603017305153,0.174532925199433,0.176699302709386,-0.002166377509953,32.4097008464219
3.2,-5.39288182629142,-5.39767431600977,-1.38162204957759,-1.89782830533969,0.174532925199433,0.176695039124035,-0.002162113924602,20.9687963372229
3.3,-5.21270010381272,-5.21079050727756,-0.466509764047359,-1.07901587211957,0.174532925199433,0.176664198983318,-0.002131273783885,25.4184757086026
3.4,-5.0150580162778,-5.01302758141433,0.420718547043058,-0.060721941994223,0.174532925199433,0.176520878759312,-0.001987953559879,18.0737581930623
3.5,-4.80151065178643,-4.79975793235143,1.27111873272214,0.804745990056709,0.174532925199433,0.176250824956024,-0.001717899756591,16.9814469039252
3.6,-4.57368280946207,-4.57385491302189,2.07649092032246,1.66154886862094,0.174532925199433,0.175957185045988,-0.001424259846555,24.6231487832422
3.7,-4.33325669340792,-4.33416784325001,2.82946723045716,2.34811677270773,0.174532925199433,0.175799509212613,-0.00126658401318,14.9961583442127
3.8,-4.08195931437043,-4.08265794469656,3.52358563032467,3.09065338556666,0.174532925199433,0.175671665738056,-0.001138740538623,21.1863735657464
3.9,-3.82154969709668,-3.82373096434864,4.15334913122507,3.71996275965091,0.174532925199433,0.175642480754063,-0.00110955555463,18.9992237847674
4,-3.55380599239665,-3.55451264074901,4.71426977181331,4.38880181144826,0.174532925199433,0.175687837236189,-0.001154912036756,20.1051607148731
4.1,-3.28051259316112,-3.28183673136888,5.20289706948619,4.93366448739118,0.174532925199433,0.175718323753431,-0.001185398553999,19.8887017502492
4.2,-3.00344735304078,-3.0042832024031,5.61683086453576,5.30270732565217,0.174532925199433,0.175828521636606,-0.001295596437173,15.4676695950479
4.3,-2.72436900516597,-2.72550922418944,5.95471872145831,5.76971282671759,0.174532925199433,0.175806930294689,-0.001274005095256,14.9539653449171
4.4,-2.44500487619733,-2.4456428649566,6.21623828530359,6.08111887012177,0.174532925199433,0.175824283151682,-0.001291357952249,11.9232806679184
4.5,-2.16703898815629,-2.16692982546272,6.40206521456932,6.29756943752798,0.174532925199433,0.175696388421314,-0.001163463221881,7.7723617715594
4.6,-1.89210063692193,-1.89291157819606,6.513827522444,6.42840163908335,0.174532925199433,0.175509246016321,-0.000976320816888,13.284560571095
4.7,-1.621753532024,-1.62293028587838,6.55404735200129,6.54163270951904,0.174532925199433,0.175361360957055,-0.000828435757622,13.0948105478128
