time,desired_D_v,hat{D_{v}},desired_D_r,hat{D_{r}},desired_psi,psi,e_{psi},tau_{r}
0,1.27667701151389,0.010463032721793,1.62519955199489,0,1.0471975511966,0,1.0471975511966,100
0.1,0.702548823783358,0.961698329367631,0.261604495160958,0.327633723127646,1.0471975511966,0.029724951897668,1.01747259929893,99.6723662768724
0.2,0.125631064475155,0.398185757293849,-1.09677878128156,-0.848212348305496,1.0471975511966,0.100027810411569,0.947169740785029,100.848212348306
0.3,-0.450963628522769,-0.312484698556825,-2.43232132352671,-2.02888451667141,1.0471975511966,0.188640932507403,0.858556618689195,101.757200585321
0.4,-1.02412777811397,-0.961842439788804,-3.72787814665448,-3.24551823590935,1.0471975511966,0.283984022601167,0.763213528595431,103.245518235909
0.5,-1.59077988611661,-1.55736590792623,-4.96710016743942,-4.47274427288691,1.0471975511966,0.381570844869621,0.665626706326977,104.472744272887
0.6,-2.14788505557464,-2.12441527987338,-6.13472806865048,-5.66799876192234,1.0471975511966,0.479869214157984,0.567328337038614,105.360432834417
0.7,-2.69247526553698,-2.67296084523669,-7.21686161304845,-6.79441142913575,1.0471975511966,0.578388223363307,0.46880932783329,106.768614538877
0.8,-3.22166914922524,-3.20566423557058,-8.20119852032513,-7.83339184209802,1.0471975511966,0.676924363509005,0.370273187687592,105.624592718334
0.9,-3.73269113029027,-3.72233634349539,-9.07723775662897,-8.6940430636964,1.0471975511966,0.775087061606691,0.272110489589907,107.157959842261
1,-4.22288977674713,-4.28426183717035,-9.83644294568315,-9.409518968346,1.0471975511966,0.868705033502457,0.17849251769414,66.6097004525684
1.1,-4.6897552381396,-4.82947949378626,-10.4723625713656,-10.1434725082569,1.0471975511966,0.945983358006028,0.10121419319057,21.4058044112377
1.2,-5.13093563847266,-5.29868610213767,-10.9807046800139,-10.6481700476787,1.0471975511966,0.99806564259373,0.049131908602867,4.27041792241547
1.3,-5.54425230540962,-5.67710119097125,-11.3593648807596,-10.9058866731374,1.0471975511966,1.02679805818299,0.020399493013609,2.89668538491416
1.4,-5.92771372510101,-6.00733815471824,-11.6084075567538,-11.3620378095456,1.0471975511966,1.04122173983661,0.005975811359984,19.435932489092
1.5,-6.27952812172169,-6.32785889774805,-11.7300013115195,-11.5045136788657,1.0471975511966,1.04779079586819,-0.000593244671594,9.86405825408009
1.6,-6.59811457127013,-6.61921309661614,-11.7283107552782,-11.6183698395215,1.0471975511966,1.05032149292827,-0.003123941731674,10.4971626991354
1.7,-6.8821125703454,-6.88885550440246,-11.6093477592258,-11.675002174753,1.0471975511966,1.05153142835689,-0.004333877160289,11.4116883187771
1.8,-7.13038999237786,-7.13401244036744,-11.3807862461177,-11.5113839280585,1.0471975511966,1.05199982852442,-0.004802277327827,-0.221513234378966
1.9,-7.34204937605761,-7.34519652222322,-11.0517454200818,-11.2576994925163,1.0471975511966,1.05217273093101,-0.004975179734409,17.6003400116584
2,-7.51643250338488,-7.51949045570198,-10.6325470469214,-11.0051184267031,1.0471975511966,1.05219274611173,-0.004995194915131,9.95567397477492
2.1,-7.65312323776155,-7.65170533938864,-10.1344529611465,-10.4667861369183,1.0471975511966,1.05205881592465,-0.004861264728049,22.0840741303494
2.2,-7.75194860575122,-7.75445641396355,-9.56938938409941,-9.99314906381547,1.0471975511966,1.05209246293469,-0.004894911738089,5.89033896409451
2.3,-7.8129781194552,-7.80952838791067,-8.94966487930163,-9.3785695808398,1.0471975511966,1.05205715572741,-0.004859604530815,15.8670350985991
2.4,-7.83652134978024,-7.8435747039255,-8.28768884129346,-8.75456597488471,1.0471975511966,1.0521218292982,-0.004924278101604,15.1901018230254
2.5,-7.82312377410764,-7.81933956665611,-7.59569731182937,-8.20934802020033,1.0471975511966,1.05228011454685,-0.005082563350255,11.8940594764992
2.6,-7.77356093491054,-7.77560893323702,-6.88549264578827,-7.47262417760872,1.0471975511966,1.0523475521343,-0.005150000937699,12.2119869240859
2.7,-7.68883095860563,-7.69140791422201,-6.16820311627478,-6.67479454907217,1.0471975511966,1.05232466333058,-0.005127112133982,5.22667847009935
2.8,-7.57014549626975,-7.57049198016982,-5.45406796591089,-5.9602762006286,1.0471975511966,1.05228381200536,-0.005086260808767,1.91002026126417
2.9,-7.41891915970464,-7.41732293575362,-4.75225269479019,-5.32315171202388,1.0471975511966,1.0520977363261,-0.004900185129506,21.7275345965263
3,-7.23675753760433,-7.23615725966093,-4.07069854388643,-4.55802295967451,1.0471975511966,1.05243210117053,-0.005234549973928,-4.85818098620066
3.1,-7.02544388718194,-7.02656634485206,-3.41600920763802,-3.92355962479549,1.0471975511966,1.05265061324395,-0.00545306204735,6.08189279967981
3.2,-6.78692460646477,-6.79123363304693,-2.79337681503812,-3.24997436450842,1.0471975511966,1.05291706722815,-0.005719516031548,7.65355918752077
3.3,-6.52329360149346,-6.52833246903125,-2.20654818060104,-2.66335343807019,1.0471975511966,1.05275597220152,-0.005558421004921,2.90686942501939
3.4,-6.23677567079298,-6.24187686416591,-1.65783127182871,-2.00220723644655,1.0471975511966,1.05242494009917,-0.005227388902567,-0.676862476311513
3.5,-5.92970903665902,-5.9329006613706,-1.14814079538502,-1.53669439644002,1.0471975511966,1.05230493049284,-0.005107379296242,-9.85942385702945
3.6,-5.6045271589683,-5.60946294505475,-0.677080796862694,-1.02946926107274,1.0471975511966,1.05223106367973,-0.005033512483132,-1.5639113242401
3.7,-5.26373997232858,-5.26699161466081,-0.243061224522465,-0.647248263677063,1.0471975511966,1.05249092766609,-0.005293376469494,0.172091071700158
3.8,-4.90991469139616,-4.91973892278846,0.156555450276391,-0.122361320015399,1.0471975511966,1.05263699898493,-0.005439447788328,-2.76903652870992
3.9,-4.54565633207521,-4.55344963287521,0.525282212329508,0.272055049686172,1.0471975511966,1.05222850533373,-0.005030954137131,1.97802699610736
4,-4.17358809805374,-4.18066056259794,0.867315359570329,0.633310845178107,1.0471975511966,1.05213115229301,-0.004933601096415,2.24166909040835
4.1,-3.79633178271346,-3.80348530466297,1.18732799455149,0.936917768819786,1.0471975511966,1.05233470394168,-0.005137152745081,-1.75553624893591
4.2,-3.4164883358736,-3.42296198671043,1.49025523118036,1.19900571279087,1.0471975511966,1.05248740887542,-0.005289857678823,-3.4133428531126
4.3,-3.03661874309319,-3.04636146232445,1.78107735895439,1.54798331097711,1.0471975511966,1.0522935606343,-0.005096009437701,3.17481716736208
4.4,-2.65922536238779,-2.66765589641182,2.06460720238367,1.90236315500204,1.0471975511966,1.05184729596234,-0.004649744765738,-3.65378696840469
4.5,-2.28673385922646,-2.29308122939864,2.34528774345191,2.10177911135946,1.0471975511966,1.05150490550273,-0.004307354306128,-2.49114866524581
4.6,-1.92147587560613,-1.92991525661265,2.6270057448811,2.39981742402691,1.0471975511966,1.0513763359283,-0.004178784731703,3.40564219454151
4.7,-1.56567256288888,-1.57348884893666,2.91292663081123,2.71893084203025,1.0471975511966,1.05093303988234,-0.00373548868574,-8.2503879085662
4.8,-1.22141910098489,-1.22754997916471,3.20535526235948,3.09459531179171,1.0471975511966,1.05037725111596,-0.003179699919359,1.08274369069833
4.9,-0.890670318425023,-0.893680516674734,3.5056265050134,3.32738527531276,1.0471975511966,1.05007786029878,-0.002880309102178,-7.37694123263011
5,-0.575227518958512,-0.578026699707933,3.81402864269493,3.60742023054165,1.0471975511966,1.05036134161933,-0.003163790422729,-4.31613962005478
5.1,-0.27672661060156,-0.282312729168501,4.12976177196595,3.90871759363682,1.0471975511966,1.05073170478451,-0.003534153587912,-4.26707305805058
5.2,0.003372377368955,0.001558442397948,4.45093233362367,4.29302186378961,1.0471975511966,1.05106718326196,-0.003869632065367,-0.823114371390391
5.3,0.263794315054974,0.260708578109009,4.7745839336403,4.57122424666043,1.0471975511966,1.05144761631601,-0.004250065119413,-8.12850581530686
5.4,0.50345646741332,0.497983164684731,5.096763597551,4.91829601877787,1.0471975511966,1.05148911523221,-0.004291564035615,-8.77393049949267
5.5,0.721474413857939,0.718987297667929,5.41262161854532,5.25092201663543,1.0471975511966,1.05115828526472,-0.00396073406812,-0.344836510553853
5.6,0.917166353730129,0.9165530621849,5.7165422255821,5.52588056205236,1.0471975511966,1.05094471026139,-0.003747159064788,-7.57647144971811
5.7,1.09005577209877,1.0885679470018,6.00230143842662,5.8190116874691,1.0471975511966,1.05072990122001,-0.003532350023416,-3.48462427331171
5.8,1.23987245324104,1.23922118018079,6.26324771424943,6.11819784473311,1.0471975511966,1.0504519306234,-0.003254379426804,-9.54430709909331
5.9,1.36655184210975,1.36922434565923,6.4925003454431,6.33030809778347,1.0471975511966,1.0502568887655,-0.003059337568902,-6.04395397323742
6,1.4702327670148,1.47060080162887,6.6831600576633,6.5932716545327,1.0471975511966,1.05036782588296,-0.003170274686357,-5.99425349614158
6.1,1.55125354953267,1.55137105779965,6.82852589434521,6.75305181054217,1.0471975511966,1.05052442199511,-0.003326870798515,-10.1947931280528
6.2,1.61014654020925,1.61194257247849,6.92231226879675,6.87124731759117,1.0471975511966,1.05047476414498,-0.003277212948384,-6.26025481889532
6.3,1.64763113084002,1.64557036303558,6.95886002303864,6.90240894863587,1.0471975511966,1.05036569086995,-0.003168139673351,-4.20802512625437
6.4,1.66460530590295,1.66442841228198,6.93333545521109,6.96255004399314,1.0471975511966,1.05016010889559,-0.002962557698994,-6.83843321998462
6.5,1.66213580699145,1.67071494477054,6.84191156167825,6.90531387882108,1.0471975511966,1.05008911169177,-0.002891560495176,-5.34238677428836
6.6,1.64144699476063,1.6467193491616,6.68192617880129,6.73951797558142,1.0471975511966,1.05014629607712,-0.002948744880523,-3.98839518798662
6.7,1.60390850287719,1.60717282709751,6.45201229155798,6.58999427982446,1.0471975511966,1.05022770076855,-0.003030149571954,-7.67115007915374
6.8,1.55102178767482,1.55454265079378,6.15219648685284,6.29010300003204,1.0471975511966,1.050249538209,-0.003051987012402,-5.56096352488015
6.9,1.48440568559272,1.48857240497714,5.78396235021856,6.00011388108844,1.0471975511966,1.05026168151201,-0.003064130315412,-9.40008649871463
7,1.40578109794994,1.40951279629496,5.35027651449284,5.60218049810528,1.0471975511966,1.05027509295706,-0.003077541760459,-7.49952318744062
7.1,1.31695492912668,1.31489610492306,4.85557604444961,5.13004084710137,1.0471975511966,1.05032906125554,-0.003131510058943,-2.83718129281059
7.2,1.21980340973596,1.21887619582372,4.30571685701103,4.60283900701222,1.0471975511966,1.05030039953831,-0.003102848341713,-1.24178486966309
7.3,1.11625494083388,1.1160047612495,3.70788390620842,4.04293221989541,1.0471975511966,1.05034230037614,-0.003144749179539,-8.39879942694573
7.4,1.00827259860096,1.00815628030945,3.07046487872186,3.43648736921552,1.0471975511966,1.05032961641352,-0.003132065216918,-10.3342140242219
7.5,0.897836441207364,0.897986639524619,2.40289012310569,2.80611822652125,1.0471975511966,1.05042041002891,-0.003222858832312,-1.80707918750548
7.6,0.786925760733737,0.787658939572341,1.71544244815297,2.12570480519932,1.0471975511966,1.05046391749357,-0.003266366296974,-1.48942843528491
7.7,0.677501423052253,0.676912613914748,1.01904124933125,1.49976296348058,1.0471975511966,1.0504885306845,-0.003290979487898,-3.09850296003304
7.8,0.571488437479427,0.572284380379504,0.32500613513499,0.741759680020138,1.0471975511966,1.05044069466791,-0.003243143471315,0.909855038119033
7.9,0.470758895805484,0.471204921258264,-0.35519419135906,0.065167813210632,1.0471975511966,1.05051018465327,-0.00331263345667,6.52709025272832
8,0.377115417003577,0.377745449859065,-1.0102016020971,-0.648231645054578,1.0471975511966,1.05044829738128,-0.003250746184683,2.28342509729361
8.1,0.292275229554431,0.292379526787476,-1.62903028984425,-1.28748712584402,1.0471975511966,1.05061445667397,-0.003416905477373,1.83834193728889
8.2,0.217855017923955,0.217069991891386,-2.20132399880843,-1.86042254701585,1.0471975511966,1.05080593239606,-0.00360838119946,2.32626669951112
8.3,0.155356653349752,0.151358604801737,-2.7176022009647,-2.43220192457935,1.0471975511966,1.05098401457101,-0.003786463374412,2.17814313325485
8.4,0.106153921775081,0.109514169268127,-3.16948889923256,-2.89242845517232,1.0471975511966,1.05111734622177,-0.00391979502517,5.7134993423207
8.5,0.071480353580852,0.073808919016462,-3.54991812201476,-3.31537030328305,1.0471975511966,1.05119596186897,-0.003998410672375,0.707625184843854
8.6,0.052418250769294,0.046907576487508,-3.85331071095166,-3.63223330864489,1.0471975511966,1.05121828375383,-0.004020732557229,12.5417493451554
8.7,0.049888997521872,0.045843261727192,-4.07571768197461,-3.94302333778019,1.0471975511966,1.05124453232336,-0.004046981126763,5.29291384926315
8.8,0.064644729666248,0.064274330605763,-4.214926242133,-4.1360562268633,1.0471975511966,1.05124246957802,-0.004044918381422,5.65396180115525
8.9,0.097261427625861,0.09884930891633,-4.27052545127429,-4.2560695606568,1.0471975511966,1.05121562842347,-0.004018077226869,8.09283656359698
9,0.148133485978579,0.149690115963079,-4.24392950581339,-4.22758372407387,1.0471975511966,1.05132896299166,-0.004131411795061,7.44828047137688
9.1,0.217469800908828,0.215491016954663,-4.13835766673261,-4.24260387980403,1.0471975511966,1.05125866985084,-0.004061118654242,4.13480729647936
9.2,0.30529140469504,0.301806694223669,-3.9587709292912,-4.03181592383983,1.0471975511966,1.05120647562893,-0.004008924432331,7.91241282978656
9.3,0.411430664027083,0.413032838904882,-3.71176661053438,-3.85784602186049,1.0471975511966,1.05115947965573,-0.003961928459137,8.29802735170687
9.4,0.535532046494556,0.536197229607406,-3.40543308526239,-3.55642181126316,1.0471975511966,1.05101755421475,-0.003820003018152,2.99039552224715
9.5,0.677054447124583,0.677869858971869,-3.04916790488237,-3.27247761197578,1.0471975511966,1.05090901163369,-0.003711460437096,5.66648419954073
9.6,0.835275054475321,0.833317354272091,-2.65346346097249,-2.86686912906209,1.0471975511966,1.05082554863664,-0.003627997440039,2.990114677519
9.7,1.00929472360606,1.00968047147584,-2.22966518277307,-2.46239526023666,1.0471975511966,1.05077433832785,-0.003576787131255,-0.01465214590033
9.8,1.19804481134228,1.19765025369714,-1.78970796399641,-2.04472012060628,1.0471975511966,1.05075850131757,-0.003560950120973,-1.2702637241508
9.9,1.40029541772721,1.39880449962979,-1.34583708115367,-1.56069451910506,1.0471975511966,1.05076117623822,-0.003563625041618,1.42624990982066
10,1.61466496649109,1.61276177799946,-0.910320278363754,-1.12774288095353,1.0471975511966,1.05067616401841,-0.003478612821811,4.47673676349042
10.1,1.83963104686043,2.12305116313309,-0.495157941529514,-0.949371864396908,2.0943951023932,1.07916918246254,1.01522591993066,100.949371864397
10.2,2.07354242915523,2.31821094068851,-0.111798361185469,-0.503568070199633,2.0943951023932,1.14908996731617,0.945305135077028,100.5035680702
10.3,2.31463215745752,2.42448298367924,0.22913501409797,-0.005452472144457,2.0943951023932,1.23783977660178,0.85655532579142,99.3515775980295
10.4,2.56103161425149,2.59302989867719,0.518097701076119,0.383194787188148,2.0943951023932,1.33301224070205,0.761382861691143,96.9236110618872
10.5,2.81078544439705,2.81400992470759,0.746853483887027,0.650656312288697,2.0943951023932,1.42951361612986,0.66488148626334,94.1440462176185
10.6,3.06186721916438,3.05535058578397,0.908673286170801,0.850050334286395,2.0943951023932,1.52568269861454,0.568712403778656,92.1095503527406
10.7,3.312195715375,3.30045085669726,0.998498734398743,0.931267134817094,2.0943951023932,1.62094101961258,0.473454082780612,87.9725116566105
10.8,3.55965168000957,3.5417920842446,1.013066385642,1.00949925875132,2.0943951023932,1.71445027103157,0.37994483136163,85.0297458698803
10.9,3.80209494698826,3.78463315463596,0.950989546251568,0.955506245053826,2.0943951023932,1.80575781636194,0.288637286031251,81.1271885238518
11,4.03738177023195,3.99169953427979,0.812795638614056,0.834961773334464,2.0943951023932,1.89397733016246,0.200417772230733,61.5203717933312
