time,desired_D_u,hat{D_{u}},desired_D_v,hat{D_{v}},desired_D_w,hat{D_{w}},desired_D_q,hat{D_{q}},desired_D_r,hat{D_{r}},desired_x,x,desired_y,y,desired_z,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
0,1.54963922507607,0,1.27667701151389,0.010463032721793,0.740476835142393,0.010433124880204,1.37350300364327,0,1.62519955199489,0,0,-3,10,13,-5,-1,4.8309518948453,-0.755969410423908,-0.785398163397448,90.9741461277008,89.3916487693787,-94.5805013179779
0.1,0.305235424127359,0.770154749621946,0.702548823783358,0.650683437416307,0.318999782061811,0.355471470175658,0.159033979714019,0.194363889077673,0.261604495160958,0.919175474343059,0.149994375063281,-2.98100636446558,9.99887502109359,13.0001565703964,-5.025,-1.00000429655134,4.9170471505554,-0.738421654147676,-0.72885715677496,98.4179882652859,86.9480380445924,-86.2603012010429
0.2,-0.945237381108898,-0.514276196550666,0.125631064475155,0.067339191172054,-0.104163013746865,-0.124462663779343,-1.0538873288446,-0.707304139616987,-1.09677878128156,-0.218798406909229,0.299955002024957,-2.92379111518759,9.99550033748988,12.9990421676495,-5.05,-1.00091526610551,4.9840529523074,-0.713241851676023,-0.639309555337638,100.514276196551,100.707304139617,-75.6651980797546
0.3,-2.19040671011989,-1.81674686668619,-0.450963628522769,-0.518170517707208,-0.526856579305596,-0.549110689691972,-2.25200582723849,-1.69048519396715,-2.43232132352671,-1.65600372899025,0.449848140376603,-2.82870825396592,9.98987670847843,12.9923242054501,-5.075,-1.00459981336553,5.02758497926904,-0.686256303107331,-0.543769838304865,101.816746866686,98.1933078315251,-68.730864986296
0.4,-3.41894279291073,-3.07441732081573,-1.02412777811397,-1.0838118857826,-0.946928259283546,-0.966106639785194,-3.42229844502294,-2.90619920371916,-3.72787814665448,-3.09968347683749,0.599640064794446,-2.69802008064408,9.98200539935204,12.9740908771345,-5.1,-1.01306838013704,5.0440175385753,-0.660535450960471,-0.453112402514347,103.074417320816,99.0261573660269,-66.6422987447659
0.5,-4.6196873935366,-4.30356111371269,-1.59077988611661,-1.64933434978855,-1.36224175510516,-1.37860549814619,-4.5521369577621,-4.07151351925849,-4.96710016743942,-4.31861200314749,0.749297072727424,-2.5354766585365,9.97188818112207,12.93860866871,-5.125,-1.02809871540893,5.0312327970954,-0.637063261475469,-0.367277453739827,104.303561113713,100.340685949297,-65.9804113866688
0.6,-5.78178059468143,-5.4916383854729,-2.14788505557464,-2.19435738885189,-1.77069104745112,-1.78466946011695,-5.62944478908596,-5.18120850316328,-6.13472806865048,-5.18175408080963,0.898785491980111,-2.34601153962206,9.95952733011994,12.881050966115,-5.15,-1.05114812925461,4.98870560223868,-0.616282722583842,-0.28416357379875,104.992306434332,102.802661311543,-56.0147519425974
0.7,-6.89478393998971,-6.56624015551732,-2.69247526553698,-2.625708813754,-2.17021410003331,-2.17666988387299,-6.64284564486487,-6.21100713339956,-7.21686161304845,-6.19937006235513,1.04807168828883,-2.13600632172513,9.94492562748497,12.7978383457425,-5.175,-1.08325849339992,4.91775399190301,-0.599134292899935,-0.213334706620255,101.789476239502,99.4227056655041,16.4196950554887
0.8,-7.94879837785232,-7.66289198002253,-3.22166914922524,-3.05675735373803,-2.55880624420686,-2.56950166241607,-7.58180195796909,-7.25657878957169,-8.20119852032513,-7.15666609446152,1.19712207288919,-1.91176947853865,9.92808635853866,12.688697314073,-5.2,-1.12501025457605,4.82165963894026,-0.585991754981492,-0.168641797806997,101.229637499661,106.902491436819,-40.0481681283321
0.9,-8.93457551800274,-8.6618790615605,-3.73269113029027,-3.58523543953903,-2.93453314644152,-2.94357589267192,-8.43674127827659,-8.18453375651144,-9.07723775662897,-7.95054318822206,1.34590311007348,-1.67612529834421,9.90901331204548,12.5577596575705,-5.225,-1.17689062599282,4.70400757434108,-0.575324356204169,-0.147802669126423,103.603256701331,108.184533756511,41.4560187093097
1,-9.84362079969475,-9.61855069771538,-4.22288977674713,-4.14862119504503,-3.29554326389295,-3.30131373774248,-9.19916892576479,-8.98513222023258,-9.83644294568315,-8.88243577461432,1.49438132473599,-1.42931136877045,9.88771077936042,12.4112476974406,-5.25,-1.23931685935743,4.56792571768081,-0.566769899006515,-0.135734867264897,105.7451070942,108.985132220233,67.253896212389
1.1,-10.668287276233,-10.4492174743932,-4.6897552381396,-4.64275965406536,-3.6400796972648,-3.6431817069343,-9.86176543178695,-9.68346605381469,-10.4723625713656,-9.28327933318427,1.64252330990479,-1.17200841035498,9.86418355346348,12.2542774067142,-5.275,-1.31237427537347,4.4163216360522,-0.560069901443895,-0.12654772424717,107.424317514829,109.683466053815,30.2715976572733
1.2,-11.4018588437907,-11.2164687685258,-5.13093563847266,-5.07932072997687,-3.96649135480541,-3.96772610915068,-10.4184675217479,-10.2794097522006,-10.9807046800139,-9.8325894311748,1.79029573425821,-0.905587816309533,9.83843692788122,12.0900948908129,-5.29999999999999,-1.39594286285966,4.25161059393322,-0.555079350954049,-0.119487271510082,108.265681224275,110.279409752201,-21.1450292631306
1.3,-12.0386218811148,-11.8389919018411,-5.54425230540962,-5.54035643834887,-4.27324334659911,-4.27306247350402,-10.8645316377967,-10.7619008151913,-11.3593648807596,-10.2428974674951,1.93766534962417,-0.63164655239892,9.81047669549578,11.9211740385173,-5.32499999999999,-1.48971712862227,4.07600252434917,-0.55169284650424,-0.11471651791439,108.96635796782,110.761900815191,25.0114621685754
1.4,-12.573924419019,-12.422449245679,-5.92771372510101,-5.96777992699573,-4.55892653425245,-4.55772357832608,-11.1965792590401,-11.12612560028,-11.6084075567538,-10.8468727056567,2.08459899846093,-0.351430282056042,9.7803091472415,11.7496730146851,-5.34999999999999,-1.59333819688781,3.89133321302999,-0.549541075861504,-0.105797200592782,109.033406629788,111.12612560028,-32.4538185413297
1.5,-13.0042221224511,-12.8999813971038,-6.27952812172169,-6.32170933455566,-4.82226616759021,-4.8203499471659,-11.4126235451362,-11.3672874291507,-11.7300013115195,-11.470176973194,2.23106362131738,-0.066794215156502,9.74794107068945,11.5761091583612,-5.37499999999999,-1.70639683562156,3.69904228232872,-0.548612662596494,-0.092775362200166,109.930710452509,111.367287429151,9.50497458204641
1.6,-13.3271105411691,-13.2523228634442,-6.59811457127013,-6.61609027177409,-5.06212954701492,-5.05958584182394,-11.5120771028299,-11.4904205422396,-11.7283107552782,-11.6006698690359,2.37702626427125,0.220005622229567,9.71337974852032,11.3999488445549,-5.39999999999998,-1.82841300674325,3.50038742957685,-0.548976947285846,-0.07562255423335,110.619615506038,111.49042054224,27.9005583606665
1.7,-13.5413432653514,-13.4679906731247,-6.8821125703454,-6.92689528988981,-5.27753265769051,-5.2745897193303,-11.4957409498303,-11.4795363373619,-11.6093477592258,-11.8059746464924,2.52245408634367,0.506873554477515,9.67663295688578,11.2203396651007,-5.42499999999998,-1.9589143027394,3.29643402628038,-0.550825795532745,-0.055366361143393,110.747676408827,111.479536337362,-46.933228568153
1.8,-13.6468358073476,-13.6253805982379,-7.13038999237786,-7.10233930164233,-5.46764572962614,-5.4644591328554,-11.3657750222174,-11.3698672820469,-11.3807862461177,-11.5796940705507,2.66731436688818,0.792113613034056,9.63770896365894,11.0364262265766,-5.44999999999998,-2.09749377849291,3.0880418067924,-0.554407645942199,-0.033343066320622,113.625380598238,111.369867282047,17.2989858618705
1.9,-13.644655217773,-13.6171158746773,-7.34204937605761,-7.27174756956974,-5.63179768599764,-5.62838692325146,-11.1256508361679,-11.1502598611929,-11.0517454200818,-11.4224234255998,2.8115745129528,1.07439899492408,9.59661652657405,10.8475641641461,-5.47499999999998,-2.24379948839306,2.87599090796074,-0.56000057583029,-0.01574653358997,110.606574674039,111.150259861193,5.33041447727372
2,-13.5369956307234,-13.6023758805706,-7.51643250338488,-7.41772642545081,-5.76947945058601,-5.76572088356978,-10.7800871682153,-10.8360318896931,-10.6325470469214,-11.0749901923346,2.95520206661324,1.35367605855848,9.55336489125611,10.655234263282,-5.49999999999997,-2.39737406680085,2.66132344226024,-0.567588266980659,-0.003536519529656,108.24645747313,110.727783894317,59.8575832041907
2.1,-13.327140116538,-13.3903742997693,-7.65312323776155,-7.52704447874523,-5.88034609396722,-5.87612594997181,-10.3349698567093,-10.4161763077395,-10.1344529611465,-10.643179911932,3.09816471227586,1.63046514756663,9.50796378914059,10.4626526786552,-5.52499999999997,-2.55741220148795,2.44559867510534,-0.577063007678433,0.003277908469639,93.9692081182049,110.381689060272,1.85026695187954
2.2,-13.0194093987813,-13.7366025392567,-7.75194860575122,-7.6413669000598,-5.96421780698632,-5.95554444308319,-9.7972570470653,-9.90545615436072,-9.56938938409941,-10.2004031216338,3.2404302839485,1.90350714977715,9.46042343528393,10.2753916320793,-5.54999999999997,-2.72158405209162,2.23287386126534,-0.587827966836036,0.005159693187068,36.8426798526799,109.905456154361,22.3557496940329
