time,hat{D_{v}},hat{D_{w}},x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
0,0.010463032721793,0.010433124880204,-3,13,-1,4.8309518948453,-0.755969410423908,-0.785398163397448,90.3393149375916,100,-94.6219205856323
0.1,0.652955103077482,0.35718336122912,-2.98254335420831,13.000175844025,-1.00000668660421,4.91786874034221,-0.736517865358178,-0.726758596113625,82.8202903270721,95.1961696147919,-93.3434307575226
0.2,0.092300350457649,-0.107134579454091,-2.94336106891294,12.9997224614412,-1.00061100660974,4.99516479555259,-0.710614121564337,-0.624576293163332,77.4610280990601,99.4020104408264,-96.9048917293549
0.3,-0.457185888728381,-0.520761313966981,-2.89985545358981,12.9972208909075,-1.00210486546213,5.07067607239622,-0.685284018233949,-0.499593270451871,80.948930978775,100,-95.9031522274017
0.4,-0.984402456554464,-0.935660361141242,-2.86522163849577,12.9929910957856,-1.00390876225855,5.15217562452152,-0.662893297066409,-0.366278112908215,82.3964774608612,95.7460522651672,-100
0.5,-1.5231677613732,-1.35207493993034,-2.84788398980568,12.9901398767315,-1.00510694444689,5.24684509843895,-0.644892252389911,-0.235191339065325,82.1236371994019,94.2379474639893,-65.3886556625366
0.6,-2.0708275723158,-1.76439902545712,-2.85103905355319,12.9933919650178,-1.0050096682874,5.35975342251245,-0.630968904336396,-0.105292501263018,82.7261567115784,100,-37.4452233314514
0.7,-2.62146789402584,-2.16677592074151,-2.87170597057529,13.0060297758611,-1.00355270352244,5.49122392538,-0.619297907901398,0.022604856244073,85.2173209190369,100,-9.54326912760735
0.8,-3.17652205989842,-2.55607800049345,-2.90257011625766,13.0280312953555,-1.00121135023826,5.63678843887737,-0.609071059692719,0.141925966781612,87.7397775650024,100,-38.1128340959549
0.9,-3.72093560389169,-2.93071221675819,-2.93471189907994,13.0551480049126,-0.998748804441833,5.78844809438862,-0.59919481886094,0.252162106279357,85.7438862323761,100,-6.28288760781288
1,-4.23703136721126,-3.29117771261075,-2.95966586099314,13.0789178959782,-0.997035288878795,5.93614071569312,-0.588586284060919,0.35185078324275,84.9247455596924,100,44.9853837490082
1.1,-4.7252797046326,-3.63877142260562,-2.97166153452896,13.088772019308,-0.996909995283208,6.07041205596373,-0.576333331252586,0.436773205770491,88.3462071418762,100,33.2058876752853
1.2,-5.16225697263218,-3.97318991540366,-2.96737800416293,13.0729584385496,-0.999412249407239,6.18280194664915,-0.561945540700009,0.50197665587322,91.7494475841522,100,83.9633464813232
1.3,-5.53434006434067,-4.28753250057614,-2.9465639171079,13.0227015918615,-1.00579497815978,6.26839847115742,-0.545613372538299,0.5412839808536,96.5851306915283,83.142751455307,54.9757242202759
1.4,-5.85146894720457,-4.58262185641839,-2.91093739414428,12.9356627466901,-1.01730919666363,6.32692635316553,-0.526965993882905,0.547259092222461,100,90.10089635849,100
1.5,-6.14478487225858,-4.85760135320653,-2.85977886132344,12.8122411350718,-1.03554963044655,6.35781500021925,-0.503555004333409,0.522447334900683,99.4607090950012,83.1458687782288,35.5012565851212
1.6,-6.41759855527262,-5.10382384352803,-2.78856522685699,12.654601276521,-1.06269203627705,6.35842101963224,-0.475082806643089,0.473917901040626,97.3516583442688,93.6317443847656,48.4713613986969
1.7,-6.70105505736657,-5.32249983094227,-2.68985156688127,12.4671696416934,-1.10136936617496,6.32454825020954,-0.442576547965644,0.409841390342525,100,90.2423322200775,45.5026626586914
1.8,-7.02951255570953,-5.50709205114428,-2.55750141174985,12.2599148114582,-1.15360469763003,6.25490703063547,-0.407428454243228,0.337443557089182,95.6366002559662,88.9814376831055,-8.85458886623383
1.9,-7.32453551524176,-5.66013546870985,-2.39063197091668,12.0475381171376,-1.21992733412134,6.15371318517954,-0.371697459073707,0.266756127989134,88.0357027053833,94.2168891429901,41.1966592073441
2,-7.54642069110662,-5.78618305624011,-2.1923461932014,11.8415344665896,-1.30033321556036,6.02639126386569,-0.336438970328285,0.203239237847699,90.4763221740723,92.9937183856964,-2.10586711764336
2.1,-7.72946301906611,-5.8866873355164,-1.96736093494125,11.6481381557951,-1.39483229265551,5.87736735190802,-0.302518674546354,0.147305675645106,92.7403151988983,89.0109300613403,-3.08935567736626
2.2,-7.83813680968104,-5.96788100823419,-1.72008245810602,11.4697650600911,-1.50353718338056,5.70954556997353,-0.270654414754116,0.101211728803104,92.8322374820709,93.3494091033936,11.377240717411
2.3,-7.8964736332847,-6.00442345903326,-1.45381768885212,11.3057964944565,-1.62680133135146,5.52412968490979,-0.241155671344063,0.062107032636426,92.2607064247131,91.6249215602875,-7.41178914904594
2.4,-7.93991800196451,-6.0345712598645,-1.1700549998621,11.1544437559236,-1.76525938400053,5.32070524046325,-0.214441899102406,0.030889155740236,97.8440523147583,91.094321012497,58.4518194198608
2.5,-7.88684460584968,-6.04082256831225,-0.869376608647908,11.0131716453657,-1.91962199446605,5.09814428958271,-0.190766542318121,0.007645584423956,96.0294246673584,87.0805561542511,-22.4566638469696
2.6,-7.88196168727553,-6.00695937653741,-0.552166644750131,10.8789715754208,-2.0903092486972,4.8553965346155,-0.170404330642014,-0.006771876649304,89.9973154067993,81.6302418708801,47.9696929454803
2.7,-7.82950581270503,-5.93913144288325,-0.230267751631676,10.7525360349179,-2.2708634084154,4.60527998665089,-0.153326537341327,-0.010562448348749,98.8473832607269,89.2085611820221,77.7496814727783
2.8,-7.66826240082512,-5.860274418849,0.090195019042539,10.6313547700788,-2.45726895826456,4.35407653468739,-0.139325089636893,-0.005680889593038,97.7181792259216,89.8804128170013,14.3536359071732
2.9,-7.49842317195081,-5.76717771836263,0.408415164135954,10.5112091420809,-2.64806549781452,4.10211965312665,-0.128462091730823,0.006018977256997,96.6344714164734,80.3431510925293,35.8956456184387
3,-7.27547474135097,-5.65457385398469,0.723864508091706,10.3885429139288,-2.84184571072923,3.84967787928419,-0.120137224770785,0.019715977770566,92.3807859420776,80.1712036132813,22.5488305091858
3.1,-7.01401721799142,-5.51888101353461,1.03645991901889,10.2612410243574,-3.03727692261093,3.59702388655113,-0.114716871831042,0.034346710189773,89.7031605243683,75.1185953617096,-83.6497247219086
3.2,-6.74999564098224,-5.36752143953548,1.34628567636951,10.1282483722274,-3.23331678785274,3.34441382393884,-0.110384133320857,0.043542615616153,95.9148347377777,70.2828288078308,89.7637724876404
3.3,-6.47718355571111,-5.19449397204905,1.65354429655353,9.99072726387084,-3.42878575345772,3.09272739746251,-0.107370437971532,0.047785169056974,84.4866335391998,61.1374080181122,-36.2435430288315
