time,hat{D_{u}},hat{D_{v}},hat{D_{w}},hat{D_{q}},hat{D_{r}},x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
0,0,0.010463032721793,0.010433124880204,0,0,-3,13,-1,4.8309518948453,-0.755969410423908,-0.785398163397448,99.9339163303375,99.9480247497559,-99.9656856060028
0.1,0.614472701357318,0.646971059206395,0.352446154651261,-0.086095419838174,0.826228330879461,-2.97980225407641,13.0001497732611,-1.00002455276195,4.91639285617861,-0.736599860537622,-0.725795337092061,99.9975681304932,99.8435080051422,-99.9129712581635
0.2,-0.576431229055846,0.049980912178664,-0.122809693117382,-0.812555843282258,-0.241210442867482,-2.92075691520401,12.9989285493577,-1.00112201276776,4.98222193111541,-0.709764240860529,-0.626867389558656,99.9894082546234,99.9871492385864,-99.8315572738647
0.3,-1.82816214596704,-0.543431365334893,-0.54278395887291,-1.86509095374345,-1.6641699030118,-2.82691176925511,12.9916529200319,-1.0050747595589,5.02595282029302,-0.682678165231293,-0.514777237150518,99.9935626983643,99.9965846538544,-99.9735414981842
0.4,-3.07688757303358,-1.10964246021455,-0.956630948654999,-3.01727792528644,-3.07946646014547,-2.7038183954555,12.9718587271041,-1.01335961728133,5.04588209757135,-0.657552778286971,-0.400034616730339,99.996030330658,99.9912798404694,-99.9920010566711
0.5,-4.30333275278367,-1.66004754206599,-1.36643136755604,-4.16267063268667,-4.40558284139045,-2.55830553682001,12.9334006447715,-1.02692823167425,5.04193539467153,-0.635608199388222,-0.285432350381195,99.9865591526032,99.9962091445923,-98.4729409217835
0.6,-5.49452643677973,-2.18280632758264,-1.77058329307664,-5.26615172564203,-5.16277851976681,-2.398004921268,12.8717554521448,-1.0462466297292,5.01586996099533,-0.6176870076925,-0.172029436649775,99.9927401542664,99.990051984787,-65.5101656913757
0.7,-6.63891456099602,-2.56780570847555,-2.16715498226072,-6.31106888004139,-6.47824718739541,-2.2306346896644,12.7845286124105,-1.07141674146201,4.97098452389408,-0.604474470551499,-0.075961673749983,99.9364197254181,99.9745845794678,31.8641543388367
0.8,-7.72642037042166,-3.07219750328435,-2.55408338197742,-7.28551711579263,-7.69913266444001,-2.06168906198085,12.6732739267258,-1.10235259895128,4.91156654539246,-0.595346109157166,-0.013077691081717,99.9968528747559,99.9898552894592,42.5063461065292
0.9,-8.74436184230288,-3.60334896728751,-2.92908356212311,-8.17870203745488,-8.64731220295734,-1.89245281347319,12.5434522819767,-1.13882283065206,4.841580405435,-0.588909423208442,0.02676221155197,99.9973177909851,99.9915778636932,46.8566805124283
1,-9.68373752912298,-4.11779573375122,-3.29012577001793,-8.9827283735861,-9.45562709103377,-1.72236584280479,12.4006438899651,-1.18047753117839,4.76396636722484,-0.58421220701149,0.050979231576595,99.9998271465302,99.9995768070221,47.1902996301651
1.1,-10.5340277092369,-4.59981316105088,-3.6353174472545,-9.68359313641067,-10.1733051255063,-1.5503837733252,12.249440615921,-1.2269321102578,4.68075351833764,-0.580604643559075,0.064043599089914,99.9994874000549,99.9703764915466,49.3190675973892
1.2,-11.2844802435842,-5.05688226001315,-3.96286516928267,-10.2792599692761,-10.6992286157187,-1.37532295990385,12.0935449433498,-1.27783464026675,4.59325201106628,-0.577622237765057,0.068910942663056,99.9943256378174,99.9725818634033,41.5960073471069
1.3,-11.9560915552487,-5.48710229764018,-4.27107538125661,-10.7625815663434,-11.190974962417,-1.19591926513661,11.9360316984124,-1.33291305974884,4.50218999552115,-0.574930314102719,0.067700918416002,99.9858438968658,99.983549118042,45.7588106393814
1.4,-12.5177089474365,-5.88905127214796,-4.55838436102393,-11.1258218749721,-11.4206676275256,-1.01102679484838,11.7792779428301,-1.39201450427192,4.40781143183937,-0.572295427165769,0.06219265655575,99.9633967876434,99.9680399894714,35.3343278169632
1.5,-12.9556197966951,-6.25572792649285,-4.82338742251725,-11.368595767685,-11.6625177552009,-0.819731936572949,11.6249769297736,-1.4551184878104,4.30999889095437,-0.56956116661838,0.054026679694711,99.9782025814056,99.9636590480804,38.599568605423
1.6,-13.3034417773508,-6.58348463707648,-5.0648745052474,-11.48567188575,-11.7219079026525,-0.621360477405173,11.4741843163877,-1.52234030738712,4.20835871178226,-0.566617659174755,0.04385148117398,99.9817430973053,99.934983253479,34.0604186058044
1.7,-13.5130553693825,-6.87812822326821,-5.28175026666452,-11.4797389283901,-11.6297922416992,-0.415327143977144,11.3275078074133,-1.59393330358149,4.10225620306707,-0.563426437029614,0.032728207261492,99.9080300331116,99.8970031738281,23.9330470561981
1.8,-13.6529113544618,-7.13602381209783,-5.47315147454166,-11.3664841459655,-11.4710573408931,-0.201143263503286,11.1851994447452,-1.67026974668973,3.99090540425204,-0.559997355402997,0.021322465463365,99.9965965747833,99.9479055404663,16.0745650529861
1.9,-13.6612344138287,-7.35643695145645,-5.63836147849175,-11.1476477032719,-11.2632350734659,0.021597809207276,11.0472163671557,-1.7518247203723,3.87342221316489,-0.556390768950753,0.010648346955661,99.9364733695984,99.9334275722504,11.2024888396263
2,-13.583937058718,-7.55095711716455,-5.77697499178588,-10.827332648736,-10.8681211552465,0.25319395883051,10.9132299045397,-1.8391586410123,3.7488777752803,-0.552683148328802,0.002283626488948,99.9776184558868,99.8502671718597,5.08917756378651
2.1,-13.4250758301191,-7.70438485304359,-5.88843162936252,-10.4102542920685,-10.4429296495792,0.493710632239392,10.7824883403915,-1.93289173612134,3.6163660671772,-0.548981712359789,-0.001679416181669,99.9576449394226,99.9731063842773,-5.80581836402416
2.2,-13.2724969774681,-7.80210619645625,-5.97255143196679,-9.90131897721058,-9.92951617862493,0.742864912744418,10.6535879589847,-2.03367355290371,3.47504480945212,-0.54544996137936,-0.000805407366279,99.9717235565186,99.9867975711823,-5.61342388391495
2.3,-12.8388251175739,-7.84533174278155,-6.02859176580956,-9.3077526929897,-9.33112928368271,1.0001092065925,10.5246981533854,-2.14214044502857,3.32419247873754,-0.542316285201662,0.003498523494263,99.9688386917114,99.9806940555573,2.4807995185256
2.4,-12.4605351062797,-7.86340851884769,-6.05644681738339,-8.63701285558928,-8.69010930809714,1.26482585987046,10.3941354479133,-2.25887848745113,3.16327406197659,-0.539849643692683,0.009501019096519,99.8270630836487,99.9930739402771,-0.205973233096302
2.5,-11.9609414190017,-7.83973335569852,-6.07255664565477,-7.89999624844794,-8.04023518840087,1.53645126802316,10.2607441551754,-2.38440267724966,2.99196861616001,-0.538344825473736,0.016237838927034,99.946802854538,99.9252676963806,5.3900595754385
2.6,-11.342332927748,-7.78255329746017,-6.04398399053717,-7.10995894896968,-7.28998819352505,1.81443801065643,10.1238810983275,-2.51913235494256,2.8101880256772,-0.53812587419971,0.023086385941403,99.7727513313293,99.9721169471741,7.08054453134537
2.7,-10.7268181349865,-7.68219311999291,-5.98829040331509,-6.26489596230514,-6.72690826504693,2.0982144886846,9.98338096253961,-2.66336034654666,2.61810281220957,-0.539547566522586,0.029764632936275,99.6485412120819,99.9840021133423,21.1664974689484
2.8,-9.87960836364859,-7.55976466342395,-5.90956438427078,-5.37844253458164,-5.98942567900305,2.38712410962337,9.83941960867335,-2.81722878274232,2.41615412370634,-0.543003644557965,0.035734426281131,98.8034784793854,99.9863982200623,17.9504007101059
2.9,-9.12215839343794,-7.41241229124691,-5.81066319992849,-4.46238758120347,-5.25985899904413,2.6803256201536,9.69262653418245,-2.98063217782063,2.20520119431568,-0.548949543107803,0.041253911405647,93.9792335033417,99.9627590179443,23.7745329737663
3,-8.24760599293041,-7.22714746357204,-5.68991310097938,-3.5284749166111,-4.54622897203594,2.97582043819013,9.54433817357816,-3.15265607406486,1.98748629281922,-0.557693599347184,0.04629578192211,60.6396853923798,99.925297498703,34.260767698288
3.1,-7.3549111706813,-7.00384829313342,-5.54869249406141,-2.58742535691897,-3.86504101885386,3.26630119422778,9.39848991870181,-3.32896320738078,1.77097349809081,-0.568243295972078,0.050282112486381,43.9623773097992,99.9883830547333,27.971613407135
3.2,-6.45203513292831,-6.76312499234873,-5.38807047142271,-1.65013905884087,-3.19945095884287,3.5468829065512,9.25796047602215,-3.50545319738141,1.56170714968222,-0.587695081158356,0.052035766378841,37.5881940126419,99.9879777431488,31.9834113121033
