step,EvalAverageReward
1000.0,-289.9355443836601
2000.0,-284.83802736111784
3000.0,-278.2602231581
4000.0,-305.35583139783523
5000.0,-273.3349427211388
6000.0,-288.72634441266547
7000.0,-294.97267326831815
8000.0,-284.1148728759053
9000.0,-272.4660144550258
10000.0,-292.956978335184
11000.0,-272.4330065534137
12000.0,-260.3225192042345
13000.0,-292.0606056797845
14000.0,-300.26464160970886
15000.0,-300.5387255418439
16000.0,-287.7085647130061
17000.0,-281.93664466056254
18000.0,-303.8583936421731
19000.0,-261.1902717484205
20000.0,-302.82260319250037
21000.0,-276.48899229737424
22000.0,-289.24071805126056
23000.0,-301.1951432007838
24000.0,-282.3684090466911
25000.0,-291.98440127909873
26000.0,-294.9541712667895
27000.0,-273.5450168963317
28000.0,-283.4544599706558
29000.0,-272.32123695485916
30000.0,-276.53250172001424
31000.0,-298.0201795700682
32000.0,-292.2978699572762
33000.0,-258.1783307632915
34000.0,-270.05578385628763
35000.0,-295.71703759340863
36000.0,-262.45290864337704
37000.0,-277.16305455063133
38000.0,-296.7093624343919
39000.0,-261.6741689681199
40000.0,-282.49246110203813
41000.0,-270.4134580350055
42000.0,-258.168711045219
43000.0,-275.8032168355664
44000.0,-284.5147138419792
45000.0,-282.6496728009775
46000.0,-285.7176749432098
47000.0,-293.690179002868
48000.0,-279.2095734780356
49000.0,-289.26688831186635
50000.0,-307.0136921474527
51000.0,-300.0026079720361
52000.0,-267.0102755670803
53000.0,-301.42250601683116
54000.0,-267.31242780022006
55000.0,-270.2012025586649
56000.0,-266.5863330006417
57000.0,-317.9573835745657
58000.0,-276.62442114894037
59000.0,-274.99932440727866
60000.0,-284.83582949332225
61000.0,-291.46839754609044
62000.0,-300.5920818233861
63000.0,-243.32658635217365
64000.0,-281.0677596602988
65000.0,-261.94572975196286
66000.0,-254.46308633845354
67000.0,-303.1342526753325
68000.0,-284.91245484583254
69000.0,-268.54361240173256
70000.0,-284.0087923558686
71000.0,-289.20572007600595
72000.0,-301.38224065749796
73000.0,-281.5776528337068
74000.0,-280.5675750782869
75000.0,-269.35565941504746
76000.0,-295.65583502809096
77000.0,-277.3015076834145
78000.0,-300.21026446686557
79000.0,-286.61555605716245
80000.0,-304.11406000669797
81000.0,-304.1376256490623
82000.0,-279.2908052513634
83000.0,-289.1156789339195
84000.0,-291.4336886078426
85000.0,-260.3240669816189
86000.0,-272.08333868913553
87000.0,-296.3058464355127
88000.0,-275.88169828941284
89000.0,-289.91017636207295
90000.0,-268.4810794057357
91000.0,-306.242226209615
92000.0,-273.6752984833691
93000.0,-291.422542899307
94000.0,-305.4315292952765
95000.0,-293.21433819468956
96000.0,-280.1633037641316
97000.0,-272.2534329046685
98000.0,-282.7834122830326
99000.0,-278.92839621480846
100000.0,-246.82180983189622
