time,hat{D_{u}},hat{D_{v}},hat{D_{w}},hat{D_{q}},hat{D_{r}},x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
0,0,0.010463032721793,0.010433124880204,0,0,-3,13,-1,4.8309518948453,-0.755969410423908,-0.785398163397448,93.0462539196014,87.6215040683746,-96.2026178836823
0.1,0.765286589277153,0.650518290897786,0.355498532819865,0.181569060702218,0.923989102568436,-2.98093647186999,13.0001563115511,-1.00000398952341,4.91701024480108,-0.738473183631979,-0.728795023655526,96.8095553868886,90.7340512662936,-85.3222587558888
0.2,-0.523348526619481,0.067373716954411,-0.124427894817618,-0.672355630386994,-0.211165189040142,-2.92362618106816,12.9990350893067,-1.00091121630471,4.98396328762221,-0.71341025674331,-0.639296284032664,100.523348526619,94.5332202696692,-76.7988822467204
0.3,-1.81672690406887,-0.518336554005631,-0.549593481970329,-1.7529495905055,-1.65906447349198,-2.82845492430491,12.9922996873873,-1.00457969178034,5.02744856583174,-0.686515828788015,-0.54373410902824,101.816726904069,100.318361158193,-68.4003720861851
0.4,-3.07418181943897,-1.08363188931017,-0.966487058370327,-2.88171865516734,-3.10496325121255,-2.69767898423309,12.9740319612569,-1.01302154736328,5.04383394299849,-0.660746251609057,-0.452996293823312,103.074181819439,99.0301320748909,-69.1512442149129
0.5,-4.30355924245304,-1.6497336263662,-1.37850130993381,-4.05201093116404,-4.3453627043809,-2.53506051583952,12.93849672256,-1.02802441264261,5.03100157279966,-0.637276857456773,-0.367103811446172,104.303559242453,102.203438438565,-69.4314307755385
0.6,-5.49135515830545,-2.1918352668817,-1.78456360043985,-5.2084765330564,-5.30434772307905,-2.34553579746038,12.8808663438355,-1.05104382785383,4.98842917327648,-0.616536677775973,-0.283991739488387,105.491355158305,104.243310441137,-41.0305686301467
0.7,-6.61006330552575,-2.62040262305629,-2.17694403619143,-6.22973675390524,-5.88382441066242,-2.13540075856312,12.7975168358969,-1.08313152854766,4.91736098356692,-0.599452199741972,-0.213144199309643,102.716664066939,98.9990674938802,-14.6601234052327
0.8,-7.67030566495085,-3.06853310771616,-2.56984534193838,-7.26736247819313,-6.98985473633951,-1.91103211109974,12.6882098422132,-1.12485769370369,4.8211415455343,-0.586288089045992,-0.168059332276822,102.912466223651,106.662047508177,-25.0344930457955
0.9,-8.68990453981951,-3.58938366444964,-2.94351821517868,-8.1837951930022,-7.8021764124164,-1.67523915257705,12.5570196382535,-1.17672980537139,4.70330865757145,-0.575616555027691,-0.146798867698242,104.66346177363,108.183795193002,22.1836789811382
1,-9.58805038575031,-4.1320237154762,-3.30122966424178,-8.98394648666827,-8.5065737694059,-1.42838002450817,12.4101464895004,-1.23915076537015,4.56705733753085,-0.567130153599474,-0.135746932714813,104.335820218361,108.983946486668,-8.26823261086601
1.1,-10.4613032860833,-4.64158122361067,-3.64312847966875,-9.68478929542627,-9.4370178336965,-1.17098577574393,12.2528774011296,-1.31221225909904,4.41529116044013,-0.560553986529848,-0.128741980775224,106.73220425082,109.684789295426,-7.06970324565302
1.2,-11.2106265871971,-5.1023481936018,-3.96760328588205,-10.2782413015504,-10.3706092423854,-0.904238692631513,12.0889584861924,-1.39576408873905,4.25056388523146,-0.555643564429376,-0.122948174078917,109.199446663186,110.27824130155,61.0554427689968
1.3,-11.865382969117,-5.55191623798091,-4.27303662611852,-10.7619551995932,-10.7325459990527,-0.629635737821529,11.9208997798171,-1.48952065577478,4.07501943527455,-0.55217508679108,-0.116075354600569,109.53123527739,110.761955199593,11.2886085335042
1.4,-12.4447558918996,-5.95121108892658,-4.55771328818874,-11.1265223018954,-11.2136093319203,-0.34895353731363,11.7500207149739,-1.59311462881316,3.89041197617041,-0.550059284753661,-0.107689415705556,109.532782892327,111.126522301895,-62.0310815631602
1.5,-12.9029266131009,-6.3349968581565,-4.82026155092894,-11.3686623526295,-11.5091007898113,-0.064020907594648,11.5769835970593,-1.70611453226744,3.69824755983118,-0.549100840157325,-0.093963697993454,108.070158172854,111.36866235263,54.5272451589366
1.6,-13.224110760378,-6.63417434492687,-5.05958872247275,-11.4869975126547,-11.5166177382889,0.222972239451483,11.4012720527989,-1.82805525270955,3.49974648734579,-0.549475006071174,-0.077046960101673,109.570554651903,111.486997512655,39.5218898883286
1.7,-13.4803142696675,-6.91695033651941,-5.27461496863509,-11.4794563506367,-11.7272971433231,0.510001162205574,11.2220177934405,-1.9584869719821,3.29591592542767,-0.551319658542867,-0.056632470492181,107.627197757369,111.479456350637,40.2497796577045
1.8,-13.6154512433964,-7.10950359183135,-5.46448691854917,-11.3646890437974,-11.6409200935829,0.795331935884239,11.0383333677305,-2.09699968086267,3.0876249930006,-0.55493064773629,-0.035739661464285,112.782416728016,111.364689043797,37.0608675985802
1.9,-13.6439289086253,-7.26317925027004,-5.62843300949687,-11.1500671085036,-11.5540578586071,1.07786431982522,10.849883246239,-2.2432481216656,2.87564816611261,-0.560527393020988,-0.017831510546449,111.23692645959,111.150067108504,54.3978258592099
2,-13.6470946190659,-7.4283144086733,-5.76560744646367,-10.8355555610705,-10.977049642306,1.35732259898444,10.6580063657719,-2.39672609125739,2.66111465717376,-0.568131550324774,-0.006488746139746,103.262529027254,110.35765744019,4.16306602309289
2.1,-13.4844744883022,-7.54075459293304,-5.87593468255082,-10.4161914564452,-10.6563703108043,1.63431399517087,10.466139502428,-2.55660264219611,2.44562657485101,-0.577611306079051,-8.22614069779355E-05,102.884742089315,110.301220057138,58.5269407320232
2.2,-13.5807030379015,-7.67622951502036,-5.95744270704399,-9.90760870132064,-10.2047910019157,1.90750557442065,10.2798170496091,-2.72052921686623,2.23326446321272,-0.588372971918832,0.001541028944588,75.0202410399157,109.907608701321,70.9055294319389
2.3,-13.4129813254963,-7.78452784624994,-6.01151484856586,-9.31221789793445,-9.79208514640676,2.1697986034665,10.1077113524968,-2.88258190826829,2.03384503041233,-0.598323205087657,-0.001277844234501,18.0834329069744,108.799308008713,72.1574501747881
2.4,-11.7388688312769,-7.82198848071127,-6.0285353589779,-8.63913196377179,-9.02049253725312,2.41873521884992,9.95402824720992,-3.03979040557974,1.85089482284394,-0.606156839519462,-0.007949681112803,56.9634221779108,108.566473901791,32.6597035958698
2.5,-11.5208000861144,-7.84266503755914,-6.04114105908156,-7.90404040994385,-8.33588548025243,2.65938906083843,9.81716742164852,-3.19434606388643,1.67899226339353,-0.61336956063731,-0.017377027900422,84.2903227530456,107.696991755388,84.4098479302799
2.6,-11.4095421730623,-7.82108959219009,-6.0306111744552,-7.11727490961624,-7.70313656252784,2.89878709849303,9.69357963500987,-3.34748706700448,1.51291078170087,-0.635419576939631,-0.026133239819272,10.3361966311083,107.117274909616,53.1349650613682
2.7,-10.7888790723845,-7.79163997195723,-5.99108596207903,-6.26948361787643,-7.24066864153304,3.13767175405393,9.58105262221191,-3.49779725665759,1.3529483255728,-0.658814297455188,-0.032916401592826,39.6755340454145,105.794929317568,-3.47401056984505
2.8,-10.2453341758889,-7.67522137629936,-5.9178171428253,-5.38150680677094,-6.31644656881261,3.37822864909047,9.47568463191828,-3.64746014179907,1.19566168681197,-0.684816387522163,-0.035153753885779,97.7513184822244,105.214673406045,12.1146701835053
2.9,-9.45314168515588,-7.49025770488982,-5.82001069363874,-4.47349938086224,-5.69405295119791,3.61934405666483,9.37367275100322,-3.79673390154631,1.0408227933237,-0.714237882084697,-0.035028005034085,40.4089242178478,104.275462948596,2.56571211085825
3,-8.31961733645676,-7.33040118321527,-5.6998087223279,-3.53459948362909,-5.03825181048306,3.85580516417664,9.27316389769941,-3.9432213786883,0.892229596090019,-0.746181753160042,-0.032567823783358,99.0220080072331,102.739276826998,36.0515975288668
3.1,-8.12601697388329,-7.08263733033474,-5.55604333898735,-2.59217252640167,-4.33467771196384,4.08211624436955,9.17309023326908,-4.08426395154895,0.753695620166008,-0.778957871460566,-0.028054651797615,-62.3667036300596,101.969685458225,-86.2753376803396
3.2,-5.23083126292783,-6.81581902851496,-5.38105240370816,-1.6495358500478,-3.29949275669675,4.28823390379158,9.0752719584542,-4.21425770440218,0.632588260811689,-0.807357747329158,-0.020172154320622,-94.7691687370722,101.633573726177,-45.6953404742755
3.3,-1.49999416485914,-6.51166129302938,-5.20122013016259,-0.728883694269465,-3.27893817742427,4.46591331773481,8.98268836696263,-4.32842011925073,0.534316128144488,-0.82499558686691,-0.007436763234691,-81.3472016988646,100.586416672327,-56.5198389259998
3.4,-0.444922370384746,-6.20001842543646,-5.00355867847164,0.17149599955221,-2.33907851425251,4.61438880772596,8.89646759805125,-4.42635335301892,0.45836634988978,-0.828669817063778,0.01214957510961,-99.5550776296153,99.4402989490257,-63.9050230101005
3.5,0.023440487089645,-5.86755683557513,-4.7904161048841,1.03990646350154,-1.62135281138595,4.73550107616282,8.81761106557085,-4.5089664316932,0.40342058421888,-0.816844811613446,0.036329564226898,-33.4169904062181,98.9600935364985,-9.84887711233918
3.6,-0.690647507525719,-5.53123966939997,-4.56498332460134,1.85095387008116,-1.24825527159387,4.83477621880294,8.74553536009274,-4.57933659453968,0.36620653893798,-0.790758714725214,0.060096474690514,45.6697578676713,98.1490461299189,36.3542883583706
3.7,-1.26546087466139,-5.2018670685897,-4.32816758068805,2.62234848396244,-0.969008730461746,4.92040122236464,8.67798289854657,-4.64210124352722,0.341523650389157,-0.754209551085654,0.077201501607322,32.2549289723482,96.2939258251959,58.1173818574454
3.8,-1.20621248850969,-4.87011265343328,-4.08017982687528,3.3353134062587,-0.381834389020644,5.00179316074468,8.61133503510483,-4.70271199160514,0.322258750011399,-0.712837470799869,0.083551324287219,7.26824030051378,95.8645836445988,12.4428007317083
3.9,-0.721507485619341,-4.53224175104187,-3.82281629361019,3.97468339475321,-0.032241686612376,5.08528124056535,8.54413804898796,-4.76440958782507,0.303496506698098,-0.670933033530737,0.082073323744902,20.6040464002998,95.5789731833108,-6.69343169090151
4,-0.073233837917719,-4.18082133437042,-3.55662602323475,4.55837566742225,0.274922915910685,5.17576265598828,8.47494946244812,-4.82987007205105,0.280558642325569,-0.631703844591083,0.075580025392724,15.6595101903233,94.9262706529208,2.3620640549908
4.1,0.30887470066207,-3.82460626173763,-3.28349217132987,5.06094624717841,0.847145743530081,5.27354225171849,8.40444881969074,-4.89901021527944,0.252974584070388,-0.595218299575488,0.067079191632713,39.2882849234377,92.6859266547381,-14.9954391791037
4.2,0.792777765677212,-3.45805824987025,-3.00593047537884,5.51632900751025,1.18225478315338,5.37670951622006,8.33373500742616,-4.97061274818784,0.22240502547729,-0.560208526798645,0.059236937960343,18.8079056850216,94.4633577295503,-11.8961628594397
4.3,1.67601115011791,-3.06708562747198,-2.7251433762691,5.8675174582209,1.55184035449919,5.48068236517503,8.26470349464863,-5.04192840734284,0.193496389074077,-0.523924358486367,0.052827935744544,23.8751112768688,93.2545180451666,-35.7853270068735
4.4,2.32153148478353,-2.67997558526026,-2.44503464867294,6.15160409519816,1.81947700558695,5.58306729275608,8.19748867724511,-5.1118117942202,0.168536103427015,-0.485083411266725,0.045947547027151,-5.18263266509855,93.723357280992,-0.23678928493055
4.5,2.69306666676631,-2.30204294354758,-2.16740972393531,6.35768527053121,2.06946685060741,5.68384787415124,8.13116441509614,-5.18056537989515,0.147327701763293,-0.443939968088727,0.038324898182343,-5.73159671847454,92.6104212377238,-5.25316550478221
4.6,3.06580672527368,-1.93040107395045,-1.89273864391486,6.47759375787832,2.233451109566,5.78442120272073,8.06432038893645,-5.24930408669733,0.128079065624746,-0.401424681801395,0.029596179039192,33.2500218365092,91.3579172112837,16.9285257643087
4.7,3.46230516156084,-1.57599454636589,-1.62294932539775,6.55110707842141,2.6981467639946,5.88538307696224,7.9963586635414,-5.31849769198448,0.110023768011056,-0.357927178002538,0.020980299983459,0.584527608548334,92.0584834519741,-24.4655410086655
4.8,3.67522678310614,-1.23961648276336,-1.35857227010595,6.54215164035104,2.86466589597455,5.98696503601832,7.92694432293124,-5.38835271731451,0.09282445710365,-0.31357262715173,0.013932077450213,35.1604417807366,92.9998581901238,-14.1465823951124
4.9,3.8103245187617,-0.901728873044282,-1.10240902540273,6.45951848210201,3.26087511676519,6.09022823683876,7.85492892929223,-5.45973864119968,0.074839470327551,-0.268740191717907,0.009165595267724,6.35995641461843,90.9155644875635,0.957890976488898
5,3.91903394632919,-0.579985535368376,-0.853996459258194,6.33335649006506,3.53674818692251,6.1953961593549,7.77950810709354,-5.53302102277666,0.055322675613458,-0.223341703688231,0.00396080144206,30.1438135487499,92.8652292586074,-13.6486500960354
5.1,3.9494317678517,-0.288655879654533,-0.614828101349333,6.13798357535704,3.98255327268751,6.30002541161042,7.7021995489853,-5.60657150943867,0.037479433936043,-0.176484268182496,-0.000133174888271,23.1673199029857,92.862887606131,1.90310737565844
5.2,4.21449486595605,-0.005063322321262,-0.387060326362045,5.93478372551613,4.21502277135581,6.40293535648586,7.6237299529754,-5.67964624238044,0.02292155695472,-0.127994862415148,-0.002370622954947,-4.35456578117821,90.1926786615688,-28.7007091927502
5.3,3.99971691326862,0.267995259583327,-0.170379626832022,5.70320361506912,4.45016956911529,6.5038291594815,7.54406412014154,-5.75217416409344,0.011940947877513,-0.078132007869339,-0.003820779693699,4.98110266967053,92.1950233613255,-19.6317586957022
5.4,3.99740360272832,0.503867266126401,0.039623147840603,5.24715236715938,4.81017384930622,6.60208062122499,7.46356296768518,-5.82382457616501,0.005363370664349,-0.027213199546125,-0.00659825935286,17.6582170318275,62.3279387564216,-5.89869994922649
