step,EvalAverageReward
1000,-329.16105560674737
2000,-320.1255497657138
3000,-314.4715571689982
4000,-320.5817955621918
5000,-308.4993847155451
6000,-297.8159046829475
7000,-320.6114207116243
8000,-326.389464891544
9000,-321.56175429950997
10000,-297.4726175548045
11000,-324.5765500662674
12000,-331.6350484605907
13000,-324.60934668015454
14000,-294.33316876673973
15000,-309.8355255376007
16000,-297.3794196910719
17000,-333.882714558943
18000,-309.77803846805716
19000,-289.64494428432647
20000,-303.44047153073177
21000,-333.4692921088014
22000,-303.3984449883285
23000,-310.1994163648222
24000,-323.87347015721025
25000,-315.8015357998438
26000,-345.12935585429136
27000,-313.88325391272735
28000,-309.89271689333884
29000,-297.03241788502976
30000,-328.2601006909403
31000,-329.2472426069885
32000,-314.4995194012532
33000,-301.6959819646534
34000,-326.02183105955885
35000,-338.18078661496037
36000,-332.9183952168905
37000,-330.1044569045736
38000,-311.9699305661608
39000,-311.6125547127489
40000,-294.62766729090083
41000,-305.3843464746118
42000,-350.9365146036251
43000,-334.87465474862535
44000,-329.06356404097266
45000,-304.4614761843936
46000,-301.349372061322
47000,-300.84250250239927
48000,-331.32166483129333
49000,-307.76562940034785
50000,-346.8303831205039
51000,-318.7141416999075
52000,-345.41323389707003
53000,-294.3498134283104
54000,-300.7846676931299
55000,-287.3401630630491
56000,-322.3898479804147
57000,-324.3308073085085
58000,-298.3530077477787
59000,-310.6519069275948
60000,-299.7806808823147
61000,-294.7914941055001
62000,-319.80354308972414
63000,-308.6566229091406
64000,-298.26415149939805
65000,-316.1390796306779
66000,-324.63521232413973
67000,-325.37453599431075
68000,-311.1549518627674
69000,-294.2512533345551
70000,-294.95456511998714
71000,-291.8399552890373
72000,-279.7369042204349
73000,-318.6909216127872
74000,-301.20854724005983
75000,-302.8070121750866
76000,-304.6944519889073
77000,-292.7486952205607
78000,-335.14827181010844
79000,-347.80641783922454
80000,-313.11853675984025
81000,-313.66087997514614
82000,-335.0227855724918
83000,-323.67667627279116
84000,-349.7470093277034
85000,-299.28114401551846
86000,-295.141910728618
87000,-318.74676728654623
88000,-299.7779354151836
89000,-325.67602189071414
90000,-296.5931555685593
91000,-298.0248499329326
92000,-297.092586735782
93000,-317.72516761206714
94000,-304.10527084681763
95000,-318.1962715565601
96000,-315.0520832458899
97000,-300.5967846690802
98000,-303.87836437577533
99000,-314.23459898281806
100000,-310.9228874827882
101000,-318.8496469440196
102000,-290.1151818092959
103000,-298.16090593490753
104000,-308.1408038754987
105000,-296.7875452333378
106000,-324.8248163663742
107000,-313.4730473741954
108000,-331.6569146869404
109000,-306.2573230897041
110000,-294.0460958385203
111000,-307.5582240774803
112000,-293.124952111741
113000,-319.68438946583376
114000,-318.7813946837444
115000,-330.5501349037406
116000,-292.73574775097296
117000,-305.26581442781946
118000,-325.27900541413715
119000,-298.0692582739904
120000,-308.91547819746216
121000,-304.4114120366881
122000,-303.7436365438436
123000,-340.3028087663947
124000,-300.67181442576293
125000,-292.49622968408204
126000,-317.33792455790683
127000,-320.43913707230433
128000,-320.8355343927425
129000,-351.1153506304184
130000,-302.6932711420441
131000,-314.294036154266
132000,-325.2885259441861
133000,-311.6517589710977
134000,-298.317097654654
135000,-322.27322960426125
136000,-306.1863925572559
137000,-281.37151175539253
138000,-311.6813002939681
139000,-286.0113101588353
140000,-300.6713995963555
141000,-303.790297699376
142000,-302.07533855612746
143000,-317.32394143910045
144000,-295.7268215995159
145000,-319.69100317633234
146000,-286.3397635825546
147000,-318.03657981542204
148000,-309.4273615787223
149000,-330.62551317080334
150000,-312.5417426417235
151000,-308.7599038764248
152000,-343.76435720320296
153000,-296.151026857763
154000,-307.203458964278
155000,-310.8549143285353
156000,-346.26138433236594
157000,-324.54930172296656
158000,-328.5124706348082
159000,-305.30957537425655
160000,-309.9396146931332
161000,-341.3598167320896
162000,-315.50745798818565
163000,-297.250915707491
164000,-301.9278956405522
165000,-302.584551584314
166000,-296.29409977335354
167000,-324.6596775960369
168000,-304.4128479829731
169000,-302.3205357802036
170000,-276.54401643727886
171000,-303.47298450399813
172000,-322.1543902106573
173000,-290.96533803267255
174000,-324.6179972970648
175000,-298.6519156767606
176000,-287.46226453645374
