step,EvalAverageReward
1000,-7.88270151138886
2000,-7.77765781279055
3000,-8.04663452209067
4000,-7.16788096124382
5000,-7.47487736849768
6000,-7.51845090293732
7000,-7.1195917260914
8000,-7.00245821824088
9000,-7.71141283719618
10000,-7.09100824880899
11000,-7.63409677293676
12000,-7.31480181141206
13000,-7.86109363158146
14000,-7.43638239618267
15000,-7.95928210565725
16000,-6.99009815223848
17000,-7.2924405159213
18000,-7.38278084144306
19000,-6.96070488972257
20000,-7.32749962555662
21000,-7.59027570451071
22000,-7.20633339588691
23000,-8.15750477880808
24000,-7.30384186949344
25000,-7.64609632056066
26000,-7.80154941857061
27000,-7.91901507264596
28000,-7.74850583794559
29000,-7.86470954527842
30000,-7.32102204345433
31000,-7.57636506543919
32000,-7.71645034659377
33000,-7.49555457711094
34000,-7.54893141674408
35000,-7.11007278655494
36000,-7.49381178352047
37000,-7.17591865321741
38000,-8.48997559918114
39000,-7.53088758268015
40000,-8.04636096163769
41000,-7.23762967008072
42000,-7.20963864620608
43000,-7.99276505344954
44000,-7.17199744580518
45000,-7.89543554214945
46000,-7.40370061866197
47000,-7.93950062783685
48000,-7.47217422425713
49000,-7.98979275047965
50000,-7.80248220284539
51000,-7.63293824326701
52000,-7.23903688565061
53000,-8.03372916234365
54000,-7.24569127106555
55000,-7.24623795448158
56000,-7.83386570095796
57000,-8.09935906939944
58000,-6.77744727081034
59000,-7.90283167897402
60000,-7.2351961441355
61000,-7.97252045457025
62000,-7.99725548120535
63000,-8.03410357349781
64000,-8.08617783040137
65000,-7.43398144863345
66000,-7.30850119024284
67000,-7.03567659921379
68000,-7.60421220314371
69000,-7.72184084462594
70000,-7.93196631993451
71000,-7.75175034454564
72000,-7.96003732486909
73000,-7.2721811285856
74000,-7.79212849594387
75000,-7.79988216692935
76000,-7.12511233903447
77000,-7.16733926701941
78000,-6.89374642329797
79000,-7.38878157672084
80000,-6.56917065908293
81000,-7.29506952039649
82000,-8.00577971899043
83000,-7.42730753031707
84000,-7.82432341326294
85000,-8.23013169461256
86000,-7.49019229216693
87000,-7.57206145546866
88000,-7.49140437976865
89000,-7.33863911892211
90000,-7.23379516852765
91000,-7.2387226775986
92000,-6.87608318303063
93000,-7.84131438879401
94000,-6.76894979871902
95000,-7.07992348762023
96000,-7.27063514741998
97000,-7.4854553906677
98000,-7.65924141481831
