time,hat{D_{u}},u,e_{u},tau_{u}
0,0,0.004,1.496,98.8571524620056
0.1,0.625144086267722,0.397299544268791,1.10270045573121,98.4990371843317
0.2,-0.564065488014194,0.782639933745097,0.717360066254903,99.9161987620926
0.3,-1.8469827662796,1.15650922501703,0.343490774982974,98.9810841571182
0.4,-3.46991192263998,1.38070240872983,0.119297591270172,43.5584134952489
0.5,-4.43196933593764,1.45819232575231,0.041807674247694,25.8853737625124
0.6,-5.4938587948674,1.48593493826303,0.014065061736975,19.8655802413815
0.7,-6.58172519449186,1.49556304185016,0.004436958149842,19.193811728992
0.8,-7.64732830036861,1.49908224829499,0.000917751705006,19.1837163995622
0.9,-8.65381381342171,1.50038121304587,-0.000381213045874,20.8580101175046
1,-9.59357049384263,1.50109515892011,-0.001095158920114,21.1222070089832
1.1,-10.4593875197287,1.50135449882527,-0.00135449882527,21.7215592352267
1.2,-11.2132375696267,1.50149022831328,-0.001490228313275,22.8172374525631
1.3,-11.8862469096265,1.50173492943322,-0.001734929433217,23.1540542442879
1.4,-12.447262579131,1.50185323261633,-0.001853232616327,23.2378557562111
1.5,-12.9172084030212,1.50188904973428,-0.001889049734281,24.3200552758277
1.6,-13.271074365141,1.50201799847457,-0.002017998474575,24.1607632443924
1.7,-13.493333526882,1.50217823298115,-0.002178232981148,25.3620950067366
1.8,-13.6355804198166,1.50217798749574,-0.00217798749574,24.7357683174988
1.9,-13.6426919271192,1.5022120246772,-0.002212024677196,24.755806582137
2,-13.5669827414965,1.50237264098162,-0.002372640981624,24.9589599622702
2.1,-13.3803879493566,1.50239383781092,-0.002393837810925,24.654609488854
2.2,-13.1018473066451,1.5026468645109,-0.0026468645109,23.9266833521487
2.3,-12.7221811975308,1.50265962061522,-0.002659620615221,23.2924569810696
2.4,-12.2473516979675,1.50272456006573,-0.002724560065725,23.0347366550426
2.5,-11.7182854902171,1.50276583750541,-0.002765837505408,22.9790870439433
2.6,-11.0959481895212,1.50295069316637,-0.002950693166368,22.3420065343622
2.7,-10.4074059251926,1.50306308341757,-0.003063083417568,21.2456612114093
2.8,-9.67380796724351,1.50297722231689,-0.002977222316892,20.387917954264
2.9,-8.8877303385596,1.50315206049723,-0.003152060497227,19.7434639417987
