step,EvalAverageReward
1000,-35.5957319626539
2000,-30.6662404543596
3000,-31.519363723473
4000,-34.008398880875
5000,-33.3613852530428
6000,-31.0513668311632
7000,-32.7173431415418
8000,-33.7785477929114
9000,-38.2771797552979
10000,-36.9779374928435
11000,-36.7133673821508
12000,-34.0014040205316
13000,-29.1479201566894
14000,-34.1687241203468
15000,-36.340778976396
16000,-34.9842820896176
17000,-30.8209835035847
18000,-32.8104038946074
19000,-30.8449954189316
20000,-33.0098266956927
21000,-29.1681263339326
22000,-32.5561400230124
23000,-32.2134147721522
24000,-33.5914860764371
25000,-32.7767239492712
26000,-30.5171999570459
27000,-30.6524646798659
28000,-35.3869501861506
29000,-32.7263955205541
30000,-32.1284365297314
31000,-32.5611962729208
32000,-31.8632667705381
33000,-36.2127739429689
34000,-31.215798980032
35000,-32.5591824322892
36000,-33.5323733430365
37000,-38.9841407053325
38000,-36.7310325374153
39000,-31.0979034794596
40000,-36.5278476366624
41000,-34.9470242113327
42000,-36.3554670079901
43000,-34.1390015257696
44000,-32.5966660682809
45000,-31.1480517162699
46000,-28.7065775852284
47000,-35.7928587356453
48000,-32.63154654512
49000,-31.921135903413
50000,-30.8700472824014
51000,-34.2865573105488
52000,-32.4431362398432
53000,-33.1291488247559
54000,-30.9741741220085
55000,-31.3375445402208
56000,-37.3990790040443
57000,-33.2945617130661
58000,-33.5930280625561
59000,-36.8602991045083
60000,-30.8721076182598
61000,-32.4986486352595
62000,-32.4301235470565
63000,-39.1708864856104
64000,-34.5463668572098
65000,-32.9140464692579
66000,-31.0606070844616
67000,-32.6936107893032
68000,-30.2189393576153
69000,-34.9017173089153
70000,-33.1687173087056
71000,-33.970299415342
72000,-32.7934733554683
73000,-37.4795302620963
74000,-31.3587334219065
75000,-31.2818470898323
76000,-30.4061949698652
77000,-31.0009586401067
78000,-30.5151547407977
79000,-32.5851220679538
80000,-32.9337214772031
81000,-32.9191408289224
82000,-33.0578084660161
83000,-38.5134282983696
84000,-37.2831505107979
85000,-36.4225319762812
86000,-36.668411132724
87000,-33.1071979058447
88000,-32.017476120595
89000,-32.8875206099099
90000,-31.6374283770856
91000,-33.4048534884339
92000,-34.5232457684193
93000,-34.3646814977315
94000,-39.0730376231654
95000,-33.298928681401
96000,-30.8983374652142
97000,-34.7581557602747
98000,-34.866708659615
99000,-34.1428719432886
100000,-36.0356433691608
101000,-36.578210897512
102000,-30.8952992419295
103000,-22.6853299579263
104000,-17.0226546509702
105000,-14.094896960781
106000,-12.7271127568399
107000,-10.8857974481399
108000,-10.3892934751115
109000,-9.99796692609758
110000,-8.81336755934029
111000,-8.18152123218878
112000,-7.75869367806484
113000,-7.38928504131385
114000,-6.90663110351216
115000,-6.64934814842628
116000,-6.35178198475927
117000,-6.09646809733338
118000,-5.80131798080306
119000,-5.68395731881199
120000,-5.46389175720191
121000,-5.28286025640812
122000,-5.0732395063732
123000,-4.80347062892981
124000,-4.67321782474462
125000,-4.36802551182528
126000,-4.25021293282846
127000,-4.08390303006755
128000,-3.87334130978229
129000,-3.69215679156252
130000,-3.50544850804163
131000,-3.48099569191266
132000,-3.22393356876065
133000,-3.04905452398859
134000,-2.92403893961482
135000,-2.77554631002302
136000,-2.67828356881294
137000,-2.56604775609111
138000,-2.46088769157906
139000,-2.35462966909846
140000,-2.26606943224376
141000,-2.15116451635795
142000,-2.07128710902199
143000,-1.97299204339473
144000,-1.93424388489016
145000,-1.84015803853036
146000,-1.80851850341027
147000,-1.71011446765009
148000,-1.64532516771725
149000,-1.59015078236157
150000,-1.50993305793551
151000,-1.43773133235317
152000,-1.41427908909051
153000,-1.37616470490035
154000,-1.35299972957051
155000,-1.29113402170784
156000,-1.24227659571263
157000,-1.20596830361638
158000,-1.18922151663751
159000,-1.15532854029923
160000,-1.1196716111439
161000,-1.10195696232624
162000,-1.06266025170386
163000,-1.03901600872576
164000,-1.02952070463973
165000,-0.994844023816321
166000,-0.98202690741304
167000,-0.957453029455369
168000,-0.953162793458654
169000,-0.926109051291031
170000,-0.929907099025147
171000,-0.900960270822038
172000,-0.878470937510885
173000,-0.876992268761256
174000,-0.849006033702699
175000,-0.846984617061187
176000,-0.848947617935258
177000,-0.831715636566327
178000,-0.825430770533176
179000,-0.828423309208916
180000,-0.796941006787983
181000,-0.78603545458748
182000,-0.782070220689364
183000,-0.779158331282339
184000,-0.762146315636626
185000,-0.747786713783409
186000,-0.746436851308392
187000,-0.729355253341336
188000,-0.719069420202918
189000,-0.724669787826325
190000,-0.704083392388506
191000,-0.693953438279202
192000,-0.687844037722762
193000,-0.678082256760925
194000,-0.672218720072616
195000,-0.663026498731969
196000,-0.736868829385185
197000,-0.688358375457874
198000,-0.661087850802712
199000,-0.649820494182967
200000,-0.643937847257779
201000,-0.642561710054311
202000,-0.641625070571192
203000,-0.630563407428127
204000,-0.641695897393701
205000,-0.622628320343996
206000,-0.613607582307203
207000,-0.610410963612573
208000,-0.602405100202596
209000,-0.598863891245509
210000,-0.597406963931471
211000,-0.595056471122582
212000,-0.584736597286491
213000,-0.601037109687294
214000,-0.587302125543458
215000,-0.582945052316259
216000,-0.581349365719992
217000,-0.57537233718315
218000,-0.597624643350582
219000,-0.564787465909977
220000,-0.572263589710519
221000,-0.5721732782243
222000,-0.559779581102474
223000,-0.555732622786397
224000,-0.548355966351843
225000,-0.575438630817063
226000,-0.551488651429373
227000,-0.559442092871152
228000,-0.542762054106733
229000,-0.53968924684107
230000,-0.682178030043133
231000,-0.537817053895446
232000,-0.545119441713526
233000,-0.531354576093699
234000,-0.533540977758905
235000,-0.5345215246826
236000,-0.536681006830623
237000,-0.526557329247496
238000,-0.523487092346353
239000,-0.516020592393599
240000,-0.516925854454926
241000,-0.513267689919288
242000,-0.511091127023717
243000,-0.508221293337966
244000,-0.508750768902625
245000,-0.511615322468864
246000,-0.505747957210729
247000,-0.501061400677823
248000,-0.545219829134505
249000,-0.508866843180879
250000,-0.562850686123224
251000,-0.535024951654703
252000,-0.497105743924455
253000,-0.562258475451933
254000,-0.497866852102397
255000,-0.492916543636636
256000,-0.496475438304948
257000,-0.494857543840318
258000,-0.495407632618649
259000,-0.497727985437336
260000,-0.485726173241384
261000,-0.486238194858037
262000,-0.490484339209536
263000,-0.47854883931955
264000,-0.476986613826289
265000,-0.484314279098921
266000,-0.483549861840388
267000,-0.490052063600936
268000,-0.489429451561975
269000,-0.479303430117246
270000,-0.479850311782423
271000,-0.483162102940534
272000,-0.484450823635039
273000,-0.48670496510818
274000,-0.478887825916526
