time,hat{D_{v}},hat{D_{r}},psi,e_{psi},tau_{r}
0,0.010463032721793,0,0,1.0471975511966,100
0.1,0.961710024349007,0.328179920844873,0.029725951741358,1.01747159945524,99.6238562215044
0.2,0.398259754999484,-0.845636128156442,0.100037489601095,0.947160061595503,100.845636128156
0.3,-0.312675309851907,-2.02791882876483,0.188654918276557,0.85854263292004,101.761950982848
0.4,-0.961844140731591,-3.24522958421498,0.283990903630533,0.763206647566065,102.874536377428
0.5,-1.55710521026476,-4.47519153536649,0.38157627153242,0.665621279664178,104.327079953564
0.6,-2.12438430769749,-5.66684619590712,0.479877043779434,0.567320507417163,105.666846195907
0.7,-2.6731264719412,-6.79197353286331,0.57839500037705,0.468802550819548,106.140292109676
0.8,-3.20533522185633,-7.83278362913622,0.676934427532016,0.370263123664581,107.60439651175
0.9,-3.72295271863608,-8.69683821950122,0.775108131268353,0.272089419928245,108.696838219501
1,-4.28980545227455,-9.41790241882608,0.868300231426325,0.178897319770272,83.6295415847044
1.1,-4.83301028650419,-10.1082047255992,0.945933177176567,0.101264374020031,19.1665245028495
1.2,-5.30495386572909,-10.5183590297774,0.997763432788068,0.049434118408529,1.61722340632235
1.3,-5.6695479879724,-10.9458598860688,1.02625193790627,0.020945613290329,17.4995604523606
1.4,-6.00308834837128,-11.304066250309,1.04089959038612,0.006297960810478,3.14082718847655
1.5,-6.32541673520215,-11.61608630683,1.04789601801347,-0.00069846681687,16.8016613450247
1.6,-6.62168802296661,-11.6165201264676,1.0505804739486,-0.003382922751999,26.2039373713788
1.7,-6.89073732357945,-11.6594507768726,1.0516431454929,-0.004445594296306,19.128661550579
1.8,-7.13419425066222,-11.4477753952762,1.05223160737117,-0.00503405617457,7.54485915756429
1.9,-7.34298332027385,-11.3315026854182,1.05247111222734,-0.005273561030741,7.5799736772681
2,-7.51829552288685,-10.9765992264524,1.05238186446562,-0.005184313269025,16.1298290591016
2.1,-7.65458283449491,-10.4573054780728,1.05223291107347,-0.005035359876874,11.9964812492496
2.2,-7.75022150859326,-9.9740708765085,1.0520392375197,-0.004841686323101,8.96256776121213
2.3,-7.8148510830802,-9.37656058031567,1.05194075658199,-0.00474320538539,11.4175495322371
2.4,-7.82892546412232,-8.79680173134745,1.05217254025384,-0.004974989057242,12.1890127066368
2.5,-7.81950196646661,-8.08360212561728,1.05243664823665,-0.005239097040051,12.039649943682
2.6,-7.77491272849088,-7.43775486546462,1.05254493626138,-0.005347385064783,2.84786939221327
2.7,-7.68858543578433,-6.74228252784907,1.05250303670755,-0.005305485510952,3.04160447733104
2.8,-7.57333826848661,-5.97033488813429,1.05256261416621,-0.005365062969607,14.4873163408378
2.9,-7.42103096168569,-5.27336300029876,1.05259416734284,-0.005396616146242,5.53365040715309
3,-7.23764043286518,-4.58539691077559,1.05263448333602,-0.005436932139427,12.8321584712157
3.1,-7.02886779917825,-3.91780011140252,1.05258826725969,-0.005390716063088,8.39149080001259
3.2,-6.78851224363508,-3.30240775642034,1.05281136533406,-0.005613814137463,3.31456024709207
3.3,-6.52910890142885,-2.69571478135652,1.05274683380166,-0.005549282605063,12.4561675883061
3.4,-6.24441748026631,-1.99622482820051,1.05242036850199,-0.005222817305397,5.92875377102392
3.5,-5.93448144074636,-1.54638641935993,1.05231382068027,-0.00511626948367,6.4474554495256
3.6,-5.60934694417254,-1.0199117143191,1.05235918288171,-0.005161631685117,-2.27525358605016
3.7,-5.26918132471824,-0.578345236544033,1.05257273393608,-0.005375182739479,2.87979009485664
3.8,-4.91816472455795,-0.15449394702618,1.05253705524894,-0.005339504052338,3.08865663826172
3.9,-4.5533896464414,0.254872104060781,1.05210918909303,-0.004911637896436,4.02392890499817
4,-4.1784015990297,0.655226548337024,1.05210588463505,-0.004908333438448,-4.2625424909821
4.1,-3.80446460798468,0.946886365272339,1.05224346267556,-0.005045911478963,2.85975831284351
4.2,-3.42520819126902,1.29000019593423,1.05256288216081,-0.005365330964217,-1.31492853475993
4.3,-3.04843903521972,1.60698200699913,1.05226941666112,-0.005071865464519,-0.684342245879048
4.4,-2.66769190172604,1.88687862506687,1.05174076112462,-0.004543209928019,2.06161691197574
4.5,-2.29314534319152,2.13483434137542,1.05138287929051,-0.004185328093917,-4.53953027692277
4.6,-1.92830235653104,2.39270771866307,1.05110174213666,-0.003904190940066,-4.90687261348232
4.7,-1.5713384267171,2.74980668627991,1.05072731543936,-0.003529764242763,-3.72429848366751
4.8,-1.22843061719474,3.04919482481214,1.05038280668585,-0.003185255489256,-12.6657188059065
4.9,-0.894056396454272,3.36043321577642,1.05001536235316,-0.002817811156564,-7.04800532249544
5,-0.577205654117529,3.58070967507959,1.05027911978615,-0.003081568589548,-5.71693828118444
5.1,-0.281144329555527,3.91822083831122,1.05068426106261,-0.003486709866012,-9.25937405765345
5.2,0.000258809668072,4.25369969251482,1.05106715937494,-0.003869608178345,-3.65444614234297
5.3,0.259697138763033,4.57934757756305,1.05134652396313,-0.004148972766536,-2.71762481021
5.4,0.499099401769764,4.9075049931511,1.05128748069816,-0.004089929501561,-12.0596123511299
5.5,0.718810059868371,5.23513157699713,1.05104751679537,-0.003849965598774,-9.0058432224811
5.6,0.915549466226614,5.58505589723322,1.05088412882806,-0.003686577631465,-5.68460061330083
5.7,1.08953365579371,5.83200442773261,1.05067578193481,-0.003478230738215,-3.53690858167567
5.8,1.24228090483796,6.09849830877118,1.05045055076915,-0.003252999572556,-4.0419707984858
5.9,1.36660831277976,6.37225644383545,1.05046195313946,-0.003264401942864,-10.9854123154652
6,1.47013484108551,6.62923561284035,1.05045367215187,-0.00325612095527,-8.14495872581094
6.1,1.55209612876732,6.73107632550016,1.05050481407081,-0.003307262874209,-6.29877305703774
6.2,1.60927192975378,6.8751789771325,1.05037456800901,-0.003177016812417,-8.7105099253661
6.3,1.64757477464477,6.92180231736233,1.05031694860875,-0.003119397412156,-6.30345376731088
6.4,1.66055716262233,6.97330885598155,1.05026902300989,-0.003071471813293,-5.98221418479177
6.5,1.66376238151192,6.88804872707182,1.05010998440245,-0.002912433205855,-7.01557281800264
6.6,1.64303417459163,6.75071322987061,1.04994070307293,-0.002743151876336,-4.39960056612473
6.7,1.60730729276182,6.58846279943572,1.0499019630887,-0.002704411892106,-7.03674043866084
6.8,1.55828340174713,6.3689186296967,1.04988359364307,-0.002686042446471,-1.81829250078473
6.9,1.49005887176957,6.02603380791968,1.05004911497415,-0.002851563777555,-5.45740633495277
7,1.4087775062329,5.60638322193148,1.05013122842593,-0.00293367722933,-4.43905903656008
7.1,1.31368316162262,5.15573434238226,1.0502802935499,-0.003082742353306,-6.9034896761635
7.2,1.22051697197844,4.64847302875317,1.0503094182185,-0.003111867021899,-3.70662613651551
7.3,1.11678903548287,3.9842111641511,1.05028165527528,-0.003084104078684,-7.23846793416586
7.4,1.0078094076208,3.46089931261218,1.05031917809797,-0.003121626901369,-7.60004403125918
7.5,0.897597541787835,2.76245671010824,1.05032609768415,-0.003128546487551,-5.42602567619892
7.6,0.786705964121289,2.09940988940614,1.050313970212,-0.003116419015407,4.13911994176489
7.7,0.678047926307748,1.39881223677832,1.05033590748671,-0.003138356290117,-3.04205417870718
7.8,0.571418018678216,0.693664375381661,1.05039576269821,-0.003198211501616,-1.52138364656468
7.9,0.471699025842585,0.048150456299399,1.05042922917772,-0.003231677981124,3.17095484698811
8,0.375041259235668,-0.611944724105529,1.05045579625599,-0.003258245059389,1.37143521033996
8.1,0.294334160326635,-1.25798627700589,1.05055305546966,-0.003355504273061,4.85473841395161
8.2,0.217113899473816,-1.88774278984109,1.05083125612399,-0.003633704927391,-0.092343626165002
8.3,0.152797726284493,-2.4061260157451,1.05097007871534,-0.003772527518747,5.10973700966686
8.4,0.103491781891124,-2.88174545003509,1.0510525273177,-0.003854976121101,4.61933968199825
8.5,0.074483143366657,-3.29357275598034,1.05122874480917,-0.004031193612577,-0.051535276246219
8.6,0.059475481503376,-3.70841130425212,1.05131309369294,-0.004115542496339,1.03948984106061
8.7,0.056133347032896,-3.96650634958486,1.05144433491288,-0.004246783716286,9.65238899245004
8.8,0.070421385688651,-4.15863390324567,1.05147079137362,-0.004273240177019,3.51731567887519
8.9,0.102993709192,-4.25260052870541,1.05144542314064,-0.004247871944044,8.04462083469658
9,0.15081390795915,-4.26791856666173,1.05124809730593,-0.004050546109333,0.801512102085005
9.1,0.221922280394069,-4.19077935179026,1.05114141715909,-0.003943865962489,6.23049835224897
9.2,0.308991849796336,-4.09049154642082,1.05117697406192,-0.003979422865326,5.82592157098509
9.3,0.408670446076025,-3.85311852774919,1.05114007148408,-0.003942520287482,2.65912461660207
9.4,0.534142074550913,-3.55876168319291,1.05091617489223,-0.003718623695628,6.40106933274573
9.5,0.678321473145713,-3.23492878838808,1.05072158790387,-0.003524036707275,0.515274645531479
9.6,0.836336944838435,-2.89567493426695,1.05073889268155,-0.003541341484949,-0.881033311010452
9.7,1.00818062767268,-2.44300136723308,1.05064357599914,-0.003446024802545,1.02095673241405
9.8,1.19817611576928,-2.11351119061054,1.05060034977354,-0.003402798576947,4.41676542242111
9.9,1.39850576404473,-1.62904687237333,1.05056833839778,-0.003370787201182,3.31585682940077
10,1.61270827215914,-1.12954454475119,1.05064842792955,-0.003450876732951,3.89581622534468
10.1,2.12274291744918,-0.951984243531191,1.079212575504,1.01518252688919,100.423738079209
10.2,2.31773723690511,-0.503550803667903,1.1491577155873,0.945237386805898,100.503550803668
10.3,2.42433960741626,-0.01222975158691,1.23792523689373,0.856469865499463,97.986112903595
10.4,2.59293539518406,0.388014912383163,1.33309919676986,0.761295905623334,96.0115665199594
10.5,2.81354926094002,0.664544789181532,1.42957938041987,0.664815721973323,94.1039913016693
10.6,3.05590608523554,0.844577077500753,1.52575018092949,0.56864492146371,91.6944413150621
10.7,3.30004637292034,0.949379995969362,1.62101750658113,0.473377595812062,89.8067740643944
10.8,3.54190331859692,1.03181604772491,1.71451092977285,0.379884172620345,84.1378986415299
10.9,3.78657812869816,1.07378675916119,1.80584745219234,0.288547650200859,78.5630254509218
11,3.98936935540052,0.829191812215332,1.89400541111738,0.200389691275811,63.876352897944
11.1,4.14248988851439,0.643650707807575,1.97136594361183,0.123029158781361,18.5184572962856
11.2,4.31790050666071,0.360140446268955,2.02797024506549,0.066424857327709,-2.43824930831138
11.3,4.53906216590488,0.226491155342291,2.06197551027409,0.032419592119104,3.8835512229641
11.4,4.7689338872591,-0.059966533261599,2.0804205672701,0.013974535123094,-3.46505849174851
